test,x,y
CCDC113/ctrl,4.0,6.35470604744936
CCDC113/ctrl,4.0,5.65219410645458
CCDC113/ctrl,8.0,5.35407000430673
CCDC113/ctrl,8.0,6.18867626675079
CCDC113/ctrl,12.0,5.27532748188891
CCDC113/ctrl,12.0,5.77274479097304
CCDC113/ctrl,16.0,6.00528306598848
CCDC113/ctrl,16.0,5.5906746805752
CCDC113/ctrl,20.0,5.88851365409533
CCDC113/ctrl,24.0,5.29737965276478
CCDC113/ctrl,28.0,5.28779725264445
CCDC113/ctrl,32.0,5.52229292138466
CCDC113/ctrl,36.0,5.43310708939994
CCDC113/nlrp3,4.0,6.20901126259724
CCDC113/nlrp3,4.0,5.3890011984278
CCDC113/nlrp3,4.0,6.01249007205376
CCDC113/nlrp3,4.0,6.00151694404354
CCDC113/nlrp3,8.0,6.04640423782295
CCDC113/nlrp3,8.0,5.4704046101713
CCDC113/nlrp3,8.0,5.48133655022931
CCDC113/nlrp3,12.0,5.8980056969706
CCDC113/nlrp3,12.0,5.73354953491209
CCDC113/nlrp3,12.0,5.64936796510134
CCDC113/nlrp3,16.0,5.37879930150283
CCDC113/nlrp3,20.0,5.15929943613317
CCDC113/nlrp3,20.0,5.6466830357716
CCDC113/nlrp3,24.0,5.63697307219297
CCDC113/nlrp3,24.0,5.4849785168728
CCDC113/nlrp3,28.0,5.50285574006316
CCDC113/nlrp3,32.0,4.99884323750104
CCDC113/nlrp3,36.0,5.68269098709764
CCDC113/nlrp3,36.0,5.39840358767156
BAZ1B/ctrl,4.0,7.82907549914122
BAZ1B/ctrl,4.0,7.78217226947703
BAZ1B/ctrl,4.0,7.69618894773324
BAZ1B/ctrl,4.0,8.05547553593943
BAZ1B/ctrl,8.0,7.81607312585028
BAZ1B/ctrl,8.0,7.75652302484211
BAZ1B/ctrl,8.0,7.85781795925079
BAZ1B/ctrl,8.0,7.63842504651126
BAZ1B/ctrl,12.0,8.07471993831785
BAZ1B/ctrl,12.0,7.75867057251001
BAZ1B/ctrl,12.0,7.82442435270402
BAZ1B/ctrl,12.0,7.92955998208977
BAZ1B/ctrl,16.0,7.87374797676432
BAZ1B/ctrl,16.0,7.90103915851021
BAZ1B/ctrl,16.0,7.74624613370412
BAZ1B/ctrl,16.0,7.58385597746178
BAZ1B/ctrl,20.0,7.7676994035547
BAZ1B/ctrl,20.0,7.72179931681634
BAZ1B/ctrl,20.0,7.82489491509346
BAZ1B/ctrl,20.0,7.80959544651127
BAZ1B/ctrl,24.0,7.81986893596739
BAZ1B/ctrl,24.0,7.88816062726182
BAZ1B/ctrl,24.0,7.90175568676757
BAZ1B/ctrl,24.0,7.66582490596028
BAZ1B/ctrl,28.0,7.87744375872535
BAZ1B/ctrl,28.0,7.86751288899987
BAZ1B/ctrl,28.0,7.85201494594687
BAZ1B/ctrl,28.0,7.75806847456188
BAZ1B/ctrl,32.0,7.99312731744145
BAZ1B/ctrl,32.0,7.65323591679185
BAZ1B/ctrl,32.0,8.03253733307398
BAZ1B/ctrl,32.0,7.63368977826258
BAZ1B/ctrl,36.0,8.13472937528606
BAZ1B/ctrl,36.0,7.71301723189669
BAZ1B/ctrl,36.0,7.96918716718836
BAZ1B/ctrl,36.0,7.85512682937416
BAZ1B/nlrp3,4.0,7.83644004293187
BAZ1B/nlrp3,4.0,7.73606098580559
BAZ1B/nlrp3,4.0,7.83180712646092
BAZ1B/nlrp3,4.0,7.97412769512722
BAZ1B/nlrp3,8.0,7.85518759036277
BAZ1B/nlrp3,8.0,7.70801840911271
BAZ1B/nlrp3,8.0,7.74946269341628
BAZ1B/nlrp3,8.0,7.71667422775318
BAZ1B/nlrp3,12.0,7.89546422194397
BAZ1B/nlrp3,12.0,7.74088386956266
BAZ1B/nlrp3,12.0,7.84365410100822
BAZ1B/nlrp3,12.0,8.06272524393509
BAZ1B/nlrp3,16.0,7.82508049219767
BAZ1B/nlrp3,16.0,7.7808664589616
BAZ1B/nlrp3,16.0,7.76210138628563
BAZ1B/nlrp3,16.0,7.86803171579459
BAZ1B/nlrp3,20.0,7.87029494339713
BAZ1B/nlrp3,20.0,7.85594130030333
BAZ1B/nlrp3,20.0,7.70136948525276
BAZ1B/nlrp3,20.0,7.87238713944943
BAZ1B/nlrp3,24.0,7.85542151626243
BAZ1B/nlrp3,24.0,7.88057358398712
BAZ1B/nlrp3,24.0,7.82671760762985
BAZ1B/nlrp3,24.0,7.87958888237281
BAZ1B/nlrp3,28.0,7.88010339758645
BAZ1B/nlrp3,28.0,7.80327116229734
BAZ1B/nlrp3,28.0,7.8017473733213
BAZ1B/nlrp3,28.0,7.84659360419045
BAZ1B/nlrp3,32.0,7.9099692948041
BAZ1B/nlrp3,32.0,7.91203403064537
BAZ1B/nlrp3,32.0,7.97910532319683
BAZ1B/nlrp3,32.0,7.74523792600079
BAZ1B/nlrp3,36.0,7.83246614536744
BAZ1B/nlrp3,36.0,7.88574245707779
BAZ1B/nlrp3,36.0,7.95256679338406
BAZ1B/nlrp3,36.0,7.81112040082331
NUP50/ctrl,4.0,7.81960881165945
NUP50/ctrl,4.0,7.90580397273624
NUP50/ctrl,4.0,7.82969839612576
NUP50/ctrl,4.0,7.94223233921832
NUP50/ctrl,8.0,7.83845955535653
NUP50/ctrl,8.0,7.9002628963994
NUP50/ctrl,8.0,7.84218064910785
NUP50/ctrl,8.0,7.89911011280791
NUP50/ctrl,12.0,7.86720412067223
NUP50/ctrl,12.0,7.87508602905221
NUP50/ctrl,12.0,7.88726920210403
NUP50/ctrl,12.0,7.92406624856687
NUP50/ctrl,16.0,7.90157565224134
NUP50/ctrl,16.0,7.89514845068701
NUP50/ctrl,16.0,7.79007694840701
NUP50/ctrl,16.0,7.8002614830056
NUP50/ctrl,20.0,7.93260685351193
NUP50/ctrl,20.0,7.86110868327694
NUP50/ctrl,20.0,7.90011947742819
NUP50/ctrl,20.0,7.91736700687126
NUP50/ctrl,24.0,7.93074796178011
NUP50/ctrl,24.0,7.92551491948362
NUP50/ctrl,24.0,8.09410466781672
NUP50/ctrl,24.0,7.7939927452993
NUP50/ctrl,28.0,7.94039783461435
NUP50/ctrl,28.0,7.93803692472347
NUP50/ctrl,28.0,8.00967819499244
NUP50/ctrl,28.0,7.89521475881249
NUP50/ctrl,32.0,7.90091498823163
NUP50/ctrl,32.0,7.99437960386184
NUP50/ctrl,32.0,8.02300501007524
NUP50/ctrl,32.0,7.81270820761687
NUP50/ctrl,36.0,7.94040199439923
NUP50/ctrl,36.0,7.99075289347715
NUP50/ctrl,36.0,8.12933154165856
NUP50/ctrl,36.0,7.87460990118657
NUP50/nlrp3,4.0,7.86718738073006
NUP50/nlrp3,4.0,7.86074323884144
NUP50/nlrp3,4.0,7.83974571276353
NUP50/nlrp3,4.0,7.94410908241385
NUP50/nlrp3,8.0,7.85945270757035
NUP50/nlrp3,8.0,7.92801599091336
NUP50/nlrp3,8.0,7.88430948647631
NUP50/nlrp3,8.0,7.92245265407443
NUP50/nlrp3,12.0,7.90406249326342
NUP50/nlrp3,12.0,7.90058908108484
NUP50/nlrp3,12.0,7.81489860256937
NUP50/nlrp3,12.0,7.89720893933417
NUP50/nlrp3,16.0,7.88522343974251
NUP50/nlrp3,16.0,7.85111764510079
NUP50/nlrp3,16.0,7.84203120600792
NUP50/nlrp3,16.0,7.85414893241336
NUP50/nlrp3,20.0,7.93408728784454
NUP50/nlrp3,20.0,8.05167172082309
NUP50/nlrp3,20.0,7.89154413650169
NUP50/nlrp3,20.0,7.95325109558971
NUP50/nlrp3,24.0,7.89224318950028
NUP50/nlrp3,24.0,7.94367149194155
NUP50/nlrp3,24.0,7.98385652843253
NUP50/nlrp3,24.0,7.88599335942727
NUP50/nlrp3,28.0,7.90785632221999
NUP50/nlrp3,28.0,7.91888706544732
NUP50/nlrp3,28.0,8.06233553209761
NUP50/nlrp3,28.0,7.85529219719368
NUP50/nlrp3,32.0,7.91049801961163
NUP50/nlrp3,32.0,7.99605516042134
NUP50/nlrp3,32.0,8.0897826831652
NUP50/nlrp3,32.0,7.76748616060112
NUP50/nlrp3,36.0,7.85852375348112
NUP50/nlrp3,36.0,8.00236641327004
NUP50/nlrp3,36.0,8.05731532082823
NUP50/nlrp3,36.0,7.94337853686965
LMCD1/ctrl,4.0,7.40691451715194
LMCD1/ctrl,4.0,7.17873715630459
LMCD1/ctrl,4.0,7.04961522043085
LMCD1/ctrl,4.0,7.32054963935913
LMCD1/ctrl,8.0,7.32608475794585
LMCD1/ctrl,8.0,7.25532876672176
LMCD1/ctrl,8.0,7.23427427890073
LMCD1/ctrl,8.0,7.30871844874098
LMCD1/ctrl,12.0,7.40601721356828
LMCD1/ctrl,12.0,7.3011157169343
LMCD1/ctrl,12.0,7.27366217048223
LMCD1/ctrl,12.0,7.17557379302617
LMCD1/ctrl,16.0,7.31590303508655
LMCD1/ctrl,16.0,7.26366293011362
LMCD1/ctrl,16.0,7.04312804957294
LMCD1/ctrl,16.0,6.78215273377993
LMCD1/ctrl,20.0,7.19592900087268
LMCD1/ctrl,20.0,7.23108760525974
LMCD1/ctrl,20.0,7.09044859266982
LMCD1/ctrl,20.0,6.88480159237798
LMCD1/ctrl,24.0,7.12853735499317
LMCD1/ctrl,24.0,7.09735436418537
LMCD1/ctrl,24.0,7.0956981012668
LMCD1/ctrl,24.0,6.94910791642032
LMCD1/ctrl,28.0,7.10565907967266
LMCD1/ctrl,28.0,7.05749999824281
LMCD1/ctrl,28.0,7.04184802128767
LMCD1/ctrl,28.0,6.31454132912988
LMCD1/ctrl,32.0,7.21077334085464
LMCD1/ctrl,32.0,7.01525313895788
LMCD1/ctrl,32.0,7.15353957155507
LMCD1/ctrl,32.0,6.39601687020008
LMCD1/ctrl,36.0,7.17327877202889
LMCD1/ctrl,36.0,6.99697671358206
LMCD1/ctrl,36.0,6.95737245557321
LMCD1/ctrl,36.0,6.58195614033214
LMCD1/nlrp3,4.0,7.3723670448813
LMCD1/nlrp3,4.0,7.33216731493471
LMCD1/nlrp3,4.0,7.1436253513569
LMCD1/nlrp3,4.0,7.17941404167361
LMCD1/nlrp3,8.0,7.26002363682935
LMCD1/nlrp3,8.0,7.1251137328803
LMCD1/nlrp3,8.0,7.14835505489087
LMCD1/nlrp3,8.0,7.12419538122749
LMCD1/nlrp3,12.0,7.14829977687058
LMCD1/nlrp3,12.0,7.18373094770413
LMCD1/nlrp3,12.0,7.01398246163376
LMCD1/nlrp3,12.0,7.07584371303659
LMCD1/nlrp3,16.0,7.26249812388634
LMCD1/nlrp3,16.0,7.25137006728242
LMCD1/nlrp3,16.0,7.12295021445982
LMCD1/nlrp3,16.0,6.62803521924793
LMCD1/nlrp3,20.0,7.35639982074774
LMCD1/nlrp3,20.0,7.20997651543242
LMCD1/nlrp3,20.0,6.9862652845362
LMCD1/nlrp3,20.0,7.20868684080066
LMCD1/nlrp3,24.0,7.4249397073903
LMCD1/nlrp3,24.0,7.11798169747996
LMCD1/nlrp3,24.0,7.03797177279562
LMCD1/nlrp3,24.0,6.80406606650577
LMCD1/nlrp3,28.0,7.26775847453195
LMCD1/nlrp3,28.0,7.06910644341274
LMCD1/nlrp3,28.0,7.07799033545019
LMCD1/nlrp3,28.0,6.84413700053675
LMCD1/nlrp3,32.0,7.11800969754091
LMCD1/nlrp3,32.0,7.03391748470483
LMCD1/nlrp3,32.0,7.00380085458545
LMCD1/nlrp3,36.0,6.94130606316919
LMCD1/nlrp3,36.0,7.0460404975312
LMCD1/nlrp3,36.0,6.8524854832796
LMCD1/nlrp3,36.0,6.47840443456191
TXNDC15/ctrl,4.0,7.26803820822089
TXNDC15/ctrl,4.0,6.9381975373113
TXNDC15/ctrl,4.0,6.68201449753099
TXNDC15/ctrl,4.0,6.96721768388872
TXNDC15/ctrl,8.0,7.00265617055515
TXNDC15/ctrl,8.0,7.08933531772835
TXNDC15/ctrl,8.0,6.82099829243831
TXNDC15/ctrl,8.0,6.89260765787054
TXNDC15/ctrl,12.0,7.25062409714969
TXNDC15/ctrl,12.0,6.95674497708212
TXNDC15/ctrl,12.0,6.83666382141048
TXNDC15/ctrl,12.0,6.98510290074371
TXNDC15/ctrl,16.0,7.21018071717195
TXNDC15/ctrl,16.0,6.90801363406182
TXNDC15/ctrl,16.0,6.49756030005941
TXNDC15/ctrl,16.0,6.61973094115857
TXNDC15/ctrl,20.0,7.44682214532148
TXNDC15/ctrl,20.0,7.1041473615343
TXNDC15/ctrl,20.0,6.9047680576632
TXNDC15/ctrl,20.0,6.92844388830571
TXNDC15/ctrl,24.0,7.31990629808873
TXNDC15/ctrl,24.0,6.87770989445731
TXNDC15/ctrl,24.0,6.61198423103771
TXNDC15/ctrl,24.0,5.91382656325571
TXNDC15/ctrl,28.0,7.25448296430745
TXNDC15/ctrl,28.0,7.33492169254178
TXNDC15/ctrl,28.0,7.10928301139215
TXNDC15/ctrl,28.0,6.65810320921344
TXNDC15/ctrl,32.0,7.32315951646341
TXNDC15/ctrl,32.0,6.94470815062841
TXNDC15/ctrl,32.0,6.93838431226276
TXNDC15/ctrl,32.0,6.37503649732406
TXNDC15/ctrl,36.0,7.00173600539334
TXNDC15/ctrl,36.0,7.01663803498568
TXNDC15/ctrl,36.0,6.85583485838626
TXNDC15/ctrl,36.0,6.34333275798782
TXNDC15/nlrp3,4.0,6.73911098791153
TXNDC15/nlrp3,4.0,7.10252645504045
TXNDC15/nlrp3,4.0,6.65172148523307
TXNDC15/nlrp3,4.0,7.0441239243093
TXNDC15/nlrp3,8.0,7.2438843707492
TXNDC15/nlrp3,8.0,6.78874897551633
TXNDC15/nlrp3,8.0,7.14761632254556
TXNDC15/nlrp3,8.0,6.62738685381363
TXNDC15/nlrp3,12.0,7.25129483394298
TXNDC15/nlrp3,12.0,7.26730605721155
TXNDC15/nlrp3,12.0,6.68377328825389
TXNDC15/nlrp3,12.0,6.69225630019992
TXNDC15/nlrp3,16.0,7.34256806617354
TXNDC15/nlrp3,16.0,7.02534511387929
TXNDC15/nlrp3,16.0,6.78034756045364
TXNDC15/nlrp3,16.0,6.96363447543953
TXNDC15/nlrp3,20.0,7.39718734989381
TXNDC15/nlrp3,20.0,7.24673654048168
TXNDC15/nlrp3,20.0,6.93898029333742
TXNDC15/nlrp3,20.0,7.04729005768784
TXNDC15/nlrp3,24.0,7.16986970513367
TXNDC15/nlrp3,24.0,7.004042432765
TXNDC15/nlrp3,24.0,7.01702978976207
TXNDC15/nlrp3,24.0,6.99374709170163
TXNDC15/nlrp3,28.0,7.2283892701917
TXNDC15/nlrp3,28.0,7.18389779224351
TXNDC15/nlrp3,28.0,6.98285017772457
TXNDC15/nlrp3,28.0,6.77450536005707
TXNDC15/nlrp3,32.0,7.27592375010062
TXNDC15/nlrp3,32.0,6.82772205862155
TXNDC15/nlrp3,32.0,6.77725256211757
TXNDC15/nlrp3,32.0,6.93441087652712
TXNDC15/nlrp3,36.0,7.14804774216834
TXNDC15/nlrp3,36.0,7.02745362209948
TXNDC15/nlrp3,36.0,6.98596624455579
TXNDC15/nlrp3,36.0,6.57631116741846
NEK4/ctrl,4.0,6.52211075514727
NEK4/ctrl,4.0,6.0015576234756
NEK4/ctrl,4.0,6.13184184846876
NEK4/ctrl,4.0,6.28171973747845
NEK4/ctrl,8.0,6.47381121952422
NEK4/ctrl,8.0,6.38513061266564
NEK4/ctrl,8.0,5.56732520857036
NEK4/ctrl,8.0,6.29354551658937
NEK4/ctrl,12.0,6.11785835657419
NEK4/ctrl,12.0,6.41697749557407
NEK4/ctrl,12.0,6.59093819780145
NEK4/ctrl,12.0,6.06660505158124
NEK4/ctrl,16.0,6.66025400108633
NEK4/ctrl,16.0,6.11130015984623
NEK4/ctrl,16.0,6.37194259236335
NEK4/ctrl,20.0,6.41042999632933
NEK4/ctrl,20.0,6.4815925273919
NEK4/ctrl,20.0,6.29305611983294
NEK4/ctrl,20.0,5.37185995793074
NEK4/ctrl,24.0,6.09727883294735
NEK4/ctrl,24.0,6.33677223336368
NEK4/ctrl,24.0,6.21095437714484
NEK4/ctrl,24.0,6.04839479775773
NEK4/ctrl,28.0,6.20803105539378
NEK4/ctrl,28.0,6.27447698462456
NEK4/ctrl,28.0,5.95453001371087
NEK4/ctrl,28.0,5.75549982908492
NEK4/ctrl,32.0,6.39684350865751
NEK4/ctrl,32.0,6.18413244931683
NEK4/ctrl,32.0,6.00985143481173
NEK4/ctrl,36.0,6.4806688093454
NEK4/ctrl,36.0,6.20039298995651
NEK4/nlrp3,4.0,6.24111745275731
NEK4/nlrp3,4.0,6.3197650202011
NEK4/nlrp3,4.0,6.36612005964223
NEK4/nlrp3,4.0,6.15920613364632
NEK4/nlrp3,8.0,6.11114552075087
NEK4/nlrp3,8.0,6.3853940787432
NEK4/nlrp3,8.0,5.97809282718029
NEK4/nlrp3,8.0,6.03510940294457
NEK4/nlrp3,12.0,6.17771624044609
NEK4/nlrp3,12.0,6.33104426012008
NEK4/nlrp3,12.0,6.06989147545719
NEK4/nlrp3,12.0,6.367574690689
NEK4/nlrp3,16.0,6.55386337376735
NEK4/nlrp3,16.0,6.05280548242725
NEK4/nlrp3,16.0,6.19191636005254
NEK4/nlrp3,16.0,6.21736653723096
NEK4/nlrp3,20.0,6.15839234881457
NEK4/nlrp3,20.0,6.10388236559137
NEK4/nlrp3,20.0,6.13600799354666
NEK4/nlrp3,24.0,6.65853252359801
NEK4/nlrp3,24.0,6.41940997807061
NEK4/nlrp3,24.0,5.73507007980493
NEK4/nlrp3,24.0,5.87473107409762
NEK4/nlrp3,28.0,6.23764350382956
NEK4/nlrp3,28.0,6.37706936481965
NEK4/nlrp3,28.0,5.89115093645892
NEK4/nlrp3,28.0,5.93961209185987
NEK4/nlrp3,32.0,6.45382512892361
NEK4/nlrp3,32.0,6.27005547331021
