test,period,n_components,p,q,RSS,amplitude,acrophase,mesor,n_points
ACLY/nlrp3,20.5,1.0,0.02257289052650313,0.07116464097798159,0.11266130528916093,0.04052414102502684,-2.194190757656649,9.275812130853584,36.0
ACLY/nlrp3,20.6,1.0,0.023360872226702023,0.07116464097798159,0.11289583571750708,0.04042451873759699,-2.171643625624065,9.27567205977342,36.0
ACLY/nlrp3,20.7,1.0,0.024245565795128265,0.07116464097798159,0.11315045450128894,0.0403103175523178,-2.149295231813891,9.275535936517826,36.0
ACLY/nlrp3,20.8,1.0,0.025232376898767672,0.07116464097798159,0.11342436424052914,0.04018150052766562,-2.127146769742382,9.275404016342488,36.0
ACLY/nlrp3,20.9,1.0,0.026327329442746628,0.07116464097798159,0.11371675371679342,0.04003805723958331,-2.105200924978071,9.275276532977895,36.0
ACLY/nlrp3,21.0,1.0,0.027537063373835657,0.07116464097798159,0.11402679748370755,0.039880006562594626,-2.0834618198824084,9.275153697713481,36.0
ACLY/nlrp3,21.1,1.0,0.02886883135804974,0.07116464097798159,0.11435365576030294,0.039707398756047785,-2.0619349581410473,9.275035698718117,36.0
ACLY/nlrp3,21.2,1.0,0.030330493168669537,0.07116464097798159,0.11469647461418425,0.039520316908582785,-2.040627169795266,9.27492270059768,36.0
ACLY/nlrp3,21.3,1.0,0.03193050658734575,0.07116464097798159,0.11505438641574853,0.03931887780103411,-2.0195465574401994,9.274814844186201,36.0
ACLY/nlrp3,21.4,1.0,0.03367791358227523,0.07116464097798159,0.11542651054033287,0.03910323225343255,-1.9987024442057812,9.274712246563062,36.0
ACLY/nlrp3,21.5,1.0,0.03558232048899079,0.07116464097798159,0.11581195429175167,0.038873565025457156,-1.9781053240782613,9.27461500128521,36.0
AGAP5/nlrp3,20.5,1.0,0.0077996962442041795,0.025913143277007,0.0322414206049646,0.3116863585332798,-0.5417164480051557,5.995851244166684,7.0
AGAP5/nlrp3,20.6,1.0,0.008130091131850259,0.025913143277007,0.0329172109961114,0.31091376964633904,-0.5054561472505328,5.995356205071248,7.0
AGAP5/nlrp3,20.7,1.0,0.008500913364064,0.025913143277007,0.033659535581063035,0.3101193196099539,-0.46967351328160484,5.99483858476206,7.0
