test,period,n_components,p,q,RSS,amplitude,acrophase,mesor,n_points
ADGRF4/ctrl,23.5,1.0,0.0230172401062631,0.0460344802125263,0.6626400683275376,0.1519520060286691,-2.943101624846398,5.770878168707931,25.0
ADGRF4/ctrl,23.6,1.0,0.0220273171663112,0.0460344802125263,0.6599971941490518,0.152697574059856,-2.91971706060698,5.770349968560225,25.0
ADGRF4/ctrl,23.7,1.0,0.0211129490068266,0.0460344802125263,0.6574582915042859,0.1533956025477569,-2.896793571805023,5.769845494252442,25.0
ADGRF4/ctrl,23.8,1.0,0.020268653790763,0.0460344802125263,0.655023580475794,0.1540472552437899,-2.874311056387316,5.76936437437084,25.0
ADGRF4/ctrl,23.9,1.0,0.0194893450469237,0.0460344802125263,0.652693015838641,0.1546537689950108,-2.852250127409939,5.768906187192359,25.0
ADGRF4/ctrl,24.0,1.0,0.0187703126250383,0.0460344802125263,0.6504663095269443,0.1552164372121208,-2.8305920960218827,5.768470467400107,25.0
ADGRF4/ctrl,24.1,1.0,0.018107202682172,0.0460344802125263,0.6483429525845229,0.1557365947395776,-2.809318953533841,5.768056712499879,25.0
ADGRF4/ctrl,24.2,1.0,0.0174959971915744,0.0460344802125263,0.6463222364141845,0.1562156041311735,-2.788413352911726,5.7676643889026575,25.0
ADGRF4/ctrl,24.3,1.0,0.0169329933724635,0.0460344802125263,0.6444032731748345,0.1566548433137345,-2.7678585899660524,5.767292937647046,25.0
ADGRF4/ctrl,24.4,1.0,0.0164147833569657,0.0460344802125263,0.642585015207881,0.1570556946052493,-2.7476385844544984,5.766941779743796,25.0
ADGRF4/ctrl,24.5,1.0,0.0159382343397255,0.0460344802125263,0.6408662734042607,0.1574195350397874,-2.727737861268388,5.76661032113174,25.0
ANGPTL4/ctrl,23.5,1.0,0.00304698478103,0.00609396956206,0.3980719676686438,0.0993839749365963,-4.638772833222983,8.697329055581866,36.0
ANGPTL4/ctrl,23.6,1.0,0.0026389830520047,0.0058057627144103,0.3946187675658029,0.1004199348241728,-4.619542376822332,8.69764263336197,36.0
ANGPTL4/ctrl,23.7,1.0,0.0022866799163322,0.005589662017701,0.3912065761081181,0.1014261697101372,-4.6001822626506685,8.6979429725676,36.0
ANGPTL4/ctrl,23.8,1.0,0.0019825975756909,0.0054521433331501,0.3878379835081184,0.1024029760085488,-4.5807122572764944,8.698230001619514,36.0
