test,x,y
DEFB124/ctrl,4.0,0.0
DEFB124/ctrl,4.0,0.0
DEFB124/ctrl,4.0,2.0
DEFB124/ctrl,4.0,0.0
DEFB124/ctrl,8.0,1.0
DEFB124/ctrl,8.0,0.0
DEFB124/ctrl,8.0,0.0
DEFB124/ctrl,8.0,0.0
DEFB124/ctrl,12.0,0.0
DEFB124/ctrl,12.0,0.0
DEFB124/ctrl,12.0,0.0
DEFB124/ctrl,12.0,0.0
DEFB124/ctrl,16.0,0.0
DEFB124/ctrl,16.0,0.0
DEFB124/ctrl,16.0,0.0
DEFB124/ctrl,16.0,0.0
DEFB124/ctrl,20.0,0.0
DEFB124/ctrl,20.0,0.0
DEFB124/nlrp3,4.0,0.0
DEFB124/nlrp3,4.0,0.0
DEFB124/nlrp3,4.0,0.0
DEFB124/nlrp3,4.0,0.0
DEFB124/nlrp3,8.0,0.0
DEFB124/nlrp3,8.0,0.0
DEFB124/nlrp3,8.0,0.0
DEFB124/nlrp3,8.0,0.0
DEFB124/nlrp3,12.0,0.0
DEFB124/nlrp3,12.0,3.0
DEFB124/nlrp3,12.0,1.0
DEFB124/nlrp3,12.0,0.0
DEFB124/nlrp3,16.0,1.0
DEFB124/nlrp3,16.0,0.0
DEFB124/nlrp3,16.0,0.0
DEFB124/nlrp3,16.0,0.0
DEFB124/nlrp3,20.0,0.0
DEFB124/nlrp3,20.0,1.0
DEFB131A/ctrl,4.0,0.0
DEFB131A/ctrl,4.0,0.0
DEFB131A/ctrl,4.0,0.0
DEFB131A/ctrl,4.0,0.0
DEFB131A/ctrl,8.0,0.0
DEFB131A/ctrl,8.0,0.0
DEFB131A/ctrl,8.0,0.0
DEFB131A/ctrl,8.0,0.0
DEFB131A/ctrl,12.0,0.0
DEFB131A/ctrl,12.0,0.0
DEFB131A/ctrl,12.0,0.0
DEFB131A/ctrl,12.0,0.0
DEFB131A/ctrl,16.0,0.0
DEFB131A/ctrl,16.0,0.0
DEFB131A/ctrl,16.0,0.0
DEFB131A/ctrl,16.0,0.0
DEFB131A/ctrl,20.0,0.0
DEFB131A/ctrl,20.0,0.0
DEFB131A/nlrp3,4.0,0.0
DEFB131A/nlrp3,4.0,0.0
DEFB131A/nlrp3,4.0,0.0
DEFB131A/nlrp3,4.0,0.0
DEFB131A/nlrp3,8.0,0.0
DEFB131A/nlrp3,8.0,0.0
DEFB131A/nlrp3,8.0,0.0
DEFB131A/nlrp3,8.0,0.0
DEFB131A/nlrp3,12.0,0.0
DEFB131A/nlrp3,12.0,0.0
DEFB131A/nlrp3,12.0,0.0
DEFB131A/nlrp3,12.0,0.0
DEFB131A/nlrp3,16.0,0.0
DEFB131A/nlrp3,16.0,0.0
DEFB131A/nlrp3,16.0,1.0
DEFB131A/nlrp3,16.0,0.0
DEFB131A/nlrp3,20.0,0.0
DEFB131A/nlrp3,20.0,0.0
DEFB131E/ctrl,4.0,0.0
DEFB131E/ctrl,4.0,0.0
DEFB131E/ctrl,4.0,0.0
