test,period,n_components,p,q,RSS,amplitude,acrophase,mesor,n_points
A4GALT/ctrl,20.5,1.0,9.820395361048728e-05,9.820395361048728e-05,117125.88915617448,176.39969058666728,-5.376867840299419,436.5718127942883,18.0
A4GALT/ctrl,20.6,1.0,8.947737818532087e-05,9.373820571795519e-05,115681.56034142741,176.5995913195251,-5.3616249466124195,436.93082672082767,18.0
A4GALT/ctrl,20.7,1.0,8.170555776165767e-05,8.987611353782343e-05,114288.5135794471,176.78821619624725,-5.346536249851346,437.2897160753862,18.0
A4GALT/ctrl,20.8,1.0,7.477140969902596e-05,8.65774217567669e-05,112945.0270229299,176.96643009786078,-5.331599643574188,437.6484665721514,18.0
A4GALT/ctrl,20.9,1.0,6.857342671973132e-05,8.381196599078273e-05,111649.42346953186,177.13505326457272,-5.316813056897743,438.0070671920388,18.0
A4GALT/ctrl,21.0,1.0,6.302347654985052e-05,8.15597931821595e-05,110400.07082953068,177.29486311340005,-5.302174453855914,438.36550992014855,18.0
A4GALT/ctrl,21.1,1.0,5.804492664429617e-05,7.981177413590723e-05,109195.38236700096,177.44659603076465,-5.287681832764831,438.7237894992803,18.0
A4GALT/ctrl,21.2,1.0,5.3571044397737744e-05,7.857086511668203e-05,108033.81674089929,177.59094913345348,-5.273333225595405,439.08190319886506,18.0
A4GALT/ctrl,21.3,1.0,4.954363096243419e-05,7.78542772266823e-05,106913.87787022177,177.7285819924908,-5.259126697353757,439.43985059866213,18.0
A4GALT/ctrl,21.4,1.0,4.5911853313818085e-05,7.769698253107676e-05,105834.11464529028,177.8601183154605,-5.245060345469995,439.797633386551,18.0
A4GALT/ctrl,21.5,1.0,4.263124468528723e-05,7.769698253107676e-05,104793.12050524603,177.9861475837274,-5.231132299195643,440.1552551697441,18.0
A4GALT/ctrl,23.5,1.0,1.3973070038253432e-05,2.7946140076506865e-05,90311.1313084479,180.0156044517741,-4.978992412272796,447.2903642905617,18.0
