test,period,n_components,p,q,RSS,amplitude,acrophase,mesor,n_points
AC093418.1/nlrp3,20.5,1.0,0.03745086185819835,0.03979957458833294,27.283938413112057,1.378924349291044,-5.91053666457687,2.563485032997964,18.0
AC093418.1/nlrp3,20.6,1.0,0.03737983715904769,0.03979957458833294,27.277033621686424,1.3808979374971897,-5.896312143925213,2.569362404263771,18.0
AC093418.1/nlrp3,20.7,1.0,0.037321005527140794,0.03979957458833294,27.271305585518526,1.3828826784159574,-5.882266380342808,2.5752516105843486,18.0
AC093418.1/nlrp3,20.8,1.0,0.0372736817631224,0.03979957458833294,27.266692310272777,1.3848820379989752,-5.868395170741521,2.5811527334164657,18.0
AC093418.1/nlrp3,20.9,1.0,0.03723722058347101,0.03979957458833294,27.263134491833412,1.3868992518726821,-5.854694457007787,2.587065868827586,18.0
AC093418.1/nlrp3,21.0,1.0,0.037211013995769204,0.03979957458833294,27.260575433266023,1.3889373368677282,-5.84116031987823,2.592991125925934,18.0
AC093418.1/nlrp3,21.1,1.0,0.03719448886497145,0.03979957458833294,27.258960960411482,1.3909991022187753,-5.8277889731015495,2.598928625408291,18.0
AC093418.1/nlrp3,21.2,1.0,0.03718710465609043,0.03979957458833294,27.25823933672861,1.393087160411968,-5.814576757873027,2.6048784982186186,18.0
AC093418.1/nlrp3,21.3,1.0,0.03718835133979659,0.03979957458833294,27.25836117792238,1.3952039376632237,-5.80152013752854,2.610840884310898,18.0
AC093418.1/nlrp3,21.4,1.0,0.037197747448456275,0.03979957458833294,27.25927936682317,1.3973516840154607,-5.788615692485562,2.616815931509728,18.0
AC093418.1/nlrp3,21.5,1.0,0.0372148382710602,0.03979957458833294,27.260948968916956,1.399532483047392,-5.775860115419175,2.622803794462471,18.0
AC093418.1/nlrp3,23.5,1.0,0.0386512103445974,0.03979957458833294,27.398948628689528,1.4521693799554676,-5.547741439050044,2.745519118857056,18.0
AC093418.1/nlrp3,23.6,1.0,0.038758444832622696,0.03979957458833294,27.409071937303246,1.4553139555026977,-5.537505819200507,2.7518164555459244,18.0
AC093418.1/nlrp3,23.7,1.0,0.03886769872455731,0.03979957458833294,27.419360951274104,1.4585102895583106,-5.527367274307788,2.7581304433868183,18.0
AC093418.1/nlrp3,23.8,1.0,0.03897883743681685,0.03979957458833294,27.429801782998247,1.4617584956542684,-5.51732414782067,2.7644612435621836,18.0
AC093418.1/nlrp3,23.9,1.0,0.039091732943749236,0.03979957458833294,27.44038127339615,1.4650586533315597,-5.507374827186039,2.7708090147447315,18.0
AC093418.1/nlrp3,24.0,1.0,0.039206263440720535,0.03979957458833294,27.45108695652174,1.4684108106244218,-5.497517742296983,2.7771739130434785,18.0
AC093418.1/nlrp3,24.1,1.0,0.039322313026750266,0.03979957458833294,27.461907025788307,1.471814986392623,-5.487751364005794,2.7835560919606284,18.0
AC093418.1/nlrp3,24.2,1.0,0.03943977140539867,0.03979957458833294,27.472830301749383,1.4752711725102772,-5.478074202698853,2.7899557023583483,18.0
AC093418.1/nlrp3,24.3,1.0,0.03955853360271766,0.03979957458833294,27.483846201373655,1.4787793359190626,-5.468484806930503,2.7963728924344546,18.0
AC093418.1/nlrp3,24.4,1.0,0.039678499701146785,0.03979957458833294,27.494944708753863,1.4823394205535907,-5.45898176211322,2.8028078077061718,18.0
AC093418.1/nlrp3,24.5,1.0,0.03979957458833294,0.03979957458833294,27.50611634719082,1.485951349146094,-5.449563689261437,2.8092605910011716,18.0
AC093426.1/nlrp3,20.5,1.0,0.04495645637236789,0.04495645637236789,2.975670160303796,0.4482685073622847,-6.17861425418286,0.22703908404760073,18.0
