qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,0,0,0
0.002,1,0,0
0.003,2,0,0
0.004,2,3,0
0.005,3,3,0
0.006,3,4,0
0.007,4,4,0
0.008,4,4,0
0.009000000000000001,4,4,0
0.01,4,4,0
0.011,4,5,0
0.012,4,5,0
0.013000000000000001,5,5,0
0.014,7,6,0
0.015,8,6,0
0.016,8,6,0
0.017,8,6,0
0.018000000000000002,8,6,0
0.019,8,6,0
0.02,10,7,0
0.021,15,7,0
0.022,16,7,0
0.023,16,8,0
0.024,16,9,0
0.025,16,9,0
0.026000000000000002,16,10,0
0.027,16,10,0
0.028,17,10,0
0.029,17,10,0
0.03,17,10,0
0.031,17,10,0
0.032,18,10,0
0.033,18,10,0
0.034,18,10,0
0.035,19,10,0
0.036000000000000004,20,10,0
0.037,20,10,0
0.038,21,11,0
0.039,22,12,1
0.04,25,13,1
0.041,26,14,1
0.042,27,17,1
0.043000000000000003,28,17,1
0.044,30,19,1
0.045,30,19,1
0.046,31,19,1
0.047,32,19,1
0.048,33,19,1
0.049,33,19,1
0.05,34,20,1
0.051000000000000004,34,20,1
0.052000000000000005,34,20,1
0.053,34,20,1
0.054,34,20,1
0.055,34,20,1
0.056,34,20,1
0.057,34,20,1
0.058,34,20,1
0.059000000000000004,34,20,1
