pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,4,1,0
0.002,7,4,0
0.003,12,5,0
0.004,16,9,0
0.005,23,14,0
0.006,26,17,0
0.007,32,20,0
0.008,39,23,0
0.009000000000000001,43,25,0
0.01,50,29,0
0.011,52,30,0
0.012,54,35,1
0.013000000000000001,63,38,2
0.014,69,41,2
0.015,70,49,2
0.016,73,51,2
0.017,77,55,2
0.018000000000000002,81,61,2
0.019,87,64,2
0.02,94,69,2
0.021,99,74,2
0.022,105,81,2
0.023,111,83,2
0.024,121,88,3
0.025,128,93,3
0.026000000000000002,134,99,3
0.027,138,104,5
0.028,144,109,7
0.029,147,114,7
0.03,154,120,8
0.031,157,124,9
0.032,161,129,9
0.033,165,133,9
0.034,170,139,9
0.035,174,144,10
0.036000000000000004,178,154,11
0.037,180,162,12
0.038,191,168,13
0.039,194,171,14
0.04,203,176,16
0.041,209,180,17
0.042,216,188,17
0.043000000000000003,224,194,17
0.044,227,196,17
0.045,234,198,18
0.046,240,202,18
0.047,247,206,19
0.048,251,210,20
0.049,255,213,21
0.05,261,218,21
0.051000000000000004,261,218,21
0.052000000000000005,261,218,21
0.053,261,218,21
0.054,261,218,21
0.055,261,218,21
0.056,261,218,21
0.057,261,218,21
0.058,261,218,21
0.059000000000000004,261,218,21
