pVal,phase,peak.shape,period,names
6.650430404256974e-5,24,4,24,A4GALT_ctrl
3.5186247694747097e-5,20,16,24,AAAS_ctrl
3.451560529421693e-4,4,20,24,AACSP1_ctrl
0.01928900370451455,16,8,24,AADAC_ctrl
1.7243222540739523e-4,12,12,24,AADACP1_ctrl
0.013228683134980001,20,12,24,AAMDC_ctrl
0.00421235417250881,24,8,24,AAMP_ctrl
3.6547885899744914e-5,24,4,24,AARS1_ctrl
1.4144771328089567e-6,20,8,24,AARS2_ctrl
0.01017713300278732,16,16,24,AARSD1_ctrl
9.218143025512488e-5,20,12,24,AASS_ctrl
0.0057024280557161754,16,20,24,AATBC_ctrl
7.491998559791375e-5,20,16,24,AATK_ctrl
1.080732164772798e-4,4,4,24,ABAT_ctrl
1.795299480174863e-4,24,4,24,ABCA1_ctrl
0.0010551052725899987,20,12,24,ABCA12_ctrl
0.018031059796642847,4,8,24,ABCA2_ctrl
0.02035426600557464,20,12,24,ABCA3_ctrl
2.2856887037806848e-4,24,8,24,ABCA7_ctrl
7.781594530318487e-6,20,8,24,ABCB6_ctrl
0.00805841667784294,20,12,24,ABCB7_ctrl
3.5186247694747097e-5,20,16,24,ABCB8_ctrl
0.022124202179972432,24,12,24,ABCB9_ctrl
0.0014806468575204183,4,20,24,ABCC3_ctrl
0.008476319672710196,20,8,24,ABCC9_ctrl
1.480884824811427e-6,24,12,24,ABCD1_ctrl
0.0030606659425338615,20,12,24,ABCD3_ctrl
1.9500069303481112e-5,20,12,24,ABCD4_ctrl
0.002391993435932433,20,12,24,ABCF3_ctrl
4.485422360423239e-5,24,4,24,ABCG1_ctrl
0.01343726789545509,16,8,24,ABCG2_ctrl
2.4934785859425653e-4,24,8,24,ABCG4_ctrl
0.0131111691358181,20,8,24,ABHD10_ctrl
6.592958732616409e-5,20,8,24,ABHD11_ctrl
0.0066143415674900004,20,8,24,ABHD12_ctrl
1.3039573347170533e-4,20,8,24,ABHD14A-ACY1_ctrl
0.047498509480992074,24,12,24,ABHD14B_ctrl
0.042780727381604926,20,12,24,ABHD16A_ctrl
0.0019858687731718317,20,12,24,ABHD17B_ctrl
0.003199787121739946,20,12,24,ABHD17C_ctrl
0.0019858687731718317,20,12,24,ABHD2_ctrl
0.00618114323190934,16,12,24,ABHD3_ctrl
1.7584518415823867e-7,24,12,24,ABHD4_ctrl
