pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,131,29,9
0.002,301,59,17
0.003,470,77,24
0.004,663,99,30
0.005,826,117,35
0.006,1008,133,41
0.007,1185,150,42
0.008,1347,167,49
0.009000000000000001,1491,181,53
0.01,1634,200,58
0.011,1777,213,64
0.012,1912,238,72
0.013000000000000001,2069,253,75
0.014,2197,280,80
0.015,2344,306,86
0.016,2472,322,93
0.017,2608,333,95
0.018000000000000002,2727,342,97
0.019,2852,354,101
0.02,3024,409,109
0.021,3127,433,113
0.022,3236,450,114
0.023,3333,473,115
0.024,3427,490,118
0.025,3550,503,122
0.026000000000000002,3642,519,125
0.027,3756,543,129
0.028,3858,567,134
0.029,3956,581,139
0.03,4045,603,145
0.031,4138,614,149
0.032,4222,634,159
0.033,4329,648,164
0.034,4400,668,173
0.035,4500,688,177
0.036000000000000004,4583,702,182
0.037,4674,718,188
0.038,4751,732,192
0.039,4823,758,199
0.04,4897,780,201
0.041,4981,806,204
0.042,5059,822,208
0.043000000000000003,5125,846,215
0.044,5206,855,221
0.045,5272,875,225
0.046,5348,899,238
0.047,5416,917,246
0.048,5480,931,248
0.049,5552,949,254
0.05,5631,962,260
0.051000000000000004,5631,962,260
0.052000000000000005,5631,962,260
0.053,5631,962,260
0.054,5631,962,260
0.055,5631,962,260
0.056,5631,962,260
0.057,5631,962,260
0.058,5631,962,260
0.059000000000000004,5631,962,260
