qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,1853,142,70
0.002,2343,233,114
0.003,2687,283,145
0.004,2977,336,166
0.005,3202,384,196
0.006,3373,439,231
0.007,3548,484,258
0.008,3680,518,272
0.009000000000000001,3795,557,293
0.01,3926,600,318
0.011,4062,632,339
0.012,4178,662,363
0.013000000000000001,4287,704,386
0.014,4363,753,413
0.015,4456,786,428
0.016,4540,814,443
0.017,4626,846,460
0.018000000000000002,4708,887,471
0.019,4804,920,489
0.02,4866,953,508
0.021,4941,995,535
0.022,5025,1022,551
0.023,5103,1044,571
0.024,5183,1063,583
0.025,5242,1093,597
0.026000000000000002,5295,1119,618
0.027,5367,1162,637
0.028,5427,1181,648
0.029,5482,1208,666
0.03,5530,1232,676
0.031,5579,1254,691
0.032,5633,1281,701
0.033,5682,1311,719
0.034,5752,1354,738
0.035,5806,1385,758
0.036000000000000004,5860,1408,768
0.037,5897,1433,776
0.038,5946,1453,794
0.039,6010,1474,805
0.04,6049,1505,814
0.041,6094,1536,832
0.042,6146,1556,848
0.043000000000000003,6186,1596,869
0.044,6233,1618,879
0.045,6277,1645,893
0.046,6331,1666,906
0.047,6368,1686,917
0.048,6413,1715,930
0.049,6452,1742,942
0.05,6498,1763,955
0.051000000000000004,6498,1763,955
0.052000000000000005,6498,1763,955
0.053,6498,1763,955
0.054,6498,1763,955
0.055,6498,1763,955
0.056,6498,1763,955
0.057,6498,1763,955
0.058,6498,1763,955
0.059000000000000004,6498,1763,955
