test,period,n_components,p,q,RSS,amplitude,acrophase,mesor,n_points
ABCC10/ctrl,12.0,1.0,0.0075728098287664,0.0979312742229409,0.2401775790891592,0.170103305310576,-4.895459654195198,5.579605090579174,17.0
ABCC10/ctrl,13.0,1.0,0.0103085551813622,0.0979312742229409,0.2509960319689797,0.163037493333868,-4.179392314832774,5.5700952024856125,17.0
ABCC10/ctrl,14.0,1.0,0.0465252112515082,0.294659671259552,0.3112902413962466,0.1442283519883204,-3.7235438756541823,5.563498122583971,17.0
ABCC10/nlrp3,11.0,1.0,0.0467464398625547,0.5363328461543854,0.353097795598713,0.2016787666380467,-1.9787402213137957,5.5717116207462585,13.0
ABHD18/nlrp3,11.0,1.0,0.0498751378684039,0.5022868798886577,0.3876026750191407,0.2961060236175299,-4.55423150389051,5.831099971586841,11.0
ABRACL/ctrl,18.0,1.0,0.0467578558215419,0.2516863942558369,1.0722058366857368,0.1102258969193041,-5.962460724968068,7.746836249701593,36.0
ABRACL/ctrl,19.0,1.0,0.044702245005041,0.2516863942558369,1.0692883086330702,0.1093237119410504,-5.592424743881236,7.750189067429737,36.0
ACAA1/ctrl,28.0,1.0,0.0443281225206345,0.8016439453712739,0.1992851551067818,0.0516039816535167,-3.03610391965164,8.196991812352097,36.0
ADAM22/ctrl,12.0,1.0,0.0098916268015987,0.0858607572799295,4.600697128777408,0.3635433058508406,-5.721657253185921,6.346427184576402,30.0
ADAM22/ctrl,13.0,1.0,0.0066000760890118,0.0858607572799295,4.464855807997228,0.3530541517084385,-4.991618190719505,6.35221396004876,30.0
ADAM22/ctrl,14.0,1.0,0.0135569616757783,0.0858607572799295,4.70938274287637,0.337483488891589,-4.393735556510194,6.35781178252309,30.0
ADAM22/ctrl,15.0,1.0,0.0496623850880552,0.2358963291682622,5.184797284485104,0.3028585852877408,-3.893971254922143,6.360076557486472,30.0
ADGRF4/ctrl,23.0,1.0,0.0293216964772122,0.0928520388445055,0.6773848781584818,0.1474778223234558,-3.0676960067922723,5.77388364244519,25.0
ADGRF4/ctrl,24.0,1.0,0.0187703126250383,0.0713271879751458,0.6504663095269443,0.1552164372121208,-2.8305920960218827,5.768470467400107,25.0
ADGRF4/ctrl,25.0,1.0,0.014087663702211,0.0669164025855024,0.6337158616246618,0.1587304355162641,-2.6325218962797106,5.765227212588826,25.0
ADGRF4/ctrl,26.0,1.0,0.0123019229175364,0.0669164025855024,0.6259550178982967,0.1592862981818033,-2.458664178470497,5.763595246684015,25.0
ADGRF4/ctrl,27.0,1.0,0.0121805889773002,0.0669164025855024,0.6253912314086421,0.1578496000428025,-2.299104940950044,5.763055749538321,25.0
ADGRF4/ctrl,28.0,1.0,0.013266762076001,0.0669164025855024,0.630266480506525,0.1550250981064773,-2.147477324841206,5.763256249582749,25.0
AGBL4/ctrl,13.0,1.0,0.0349120493288661,0.4212223669817556,0.0717831271513235,0.2160070789273353,-1.6806563164163095,5.354067552040775,8.0
AGBL4/ctrl,14.0,1.0,0.0443391965243953,0.4212223669817556,0.0789854986955356,0.2110270288316305,-1.0225589046525834,5.3478161715229,8.0
AKTIP/nlrp3,10.0,1.0,0.0485621881180116,0.659692087999997,1.9441033137324968,0.1565304994369835,-5.974825931057105,6.647383168999989,36.0
ALKBH3/ctrl,19.0,1.0,0.0297893220746039,0.1960080550858082,2.65897391089974,0.1816708916024096,-1.6634296615862807,7.273774582012372,36.0
ALKBH3/ctrl,20.0,1.0,0.026657336288052,0.1960080550858082,2.6411325968932617,0.1804809410399936,-1.4362516114703932,7.273948112250477,36.0
ALKBH3/ctrl,21.0,1.0,0.0320103860943726,0.1960080550858082,2.670587557020528,0.1755773687073209,-1.2521921622378485,7.2717835335167855,36.0
ALKBH3/ctrl,22.0,1.0,0.0457665024249155,0.1960080550858082,2.7290803656104075,0.1690926633886414,-1.0977490940053118,7.268160468888311,36.0
ALKBH3/nlrp3,13.0,1.0,0.0076820235315114,0.0729792235493591,2.3837075431833585,0.2231686634163176,-2.9384016001964053,7.271279330424178,36.0
ALKBH3/nlrp3,14.0,1.0,0.0044258669003984,0.0729792235493591,2.3053623489529302,0.2321460348074821,-2.392079634599777,7.258593453529758,36.0
ALKBH3/nlrp3,15.0,1.0,0.0123164008418745,0.0780038719985389,2.4528879463416886,0.2016367892528389,-1.9542541094207164,7.260923622407711,36.0
ALKBH3/nlrp3,16.0,1.0,0.0335253903158218,0.1592456040001535,2.606361671995498,0.1746791148721468,-1.674812959398023,7.270010782316077,36.0
ALPK2/ctrl,21.0,1.0,0.041597208913473,0.2414145660455751,2.83293331574112,0.2010096875269463,-5.470613389864741,6.5088763304389765,35.0
ALPK2/ctrl,22.0,1.0,0.0408166884025136,0.2414145660455751,2.829581453450889,0.2031180555925782,-5.211348607870285,6.515561890979504,35.0
ALPK2/ctrl,23.0,1.0,0.0482604249923795,0.2414145660455751,2.859362954562996,0.1978219385409536,-4.965543364743368,6.518757023153039,35.0
AMDHD1/ctrl,12.0,1.0,0.0059690529056065,0.0613525834370609,4.675854113669225,0.3325799547987759,-2.3866766129357058,6.146127208584123,34.0
AMDHD1/ctrl,13.0,1.0,0.0064581666775853,0.0613525834370609,4.699673106169353,0.3101787145986431,-1.9534710857302575,6.135969980237457,34.0
AMDHD1/ctrl,14.0,1.0,0.0128447631368873,0.0813501665336196,4.912847169376976,0.2977062415358164,-1.6834516522158935,6.116759027636597,34.0
AMDHD1/ctrl,15.0,1.0,0.0335823146307368,0.1595159944959998,5.22710577002273,0.2732766458203624,-1.4290088063414066,6.110121743051377,34.0
AMDHD1/nlrp3,11.0,1.0,0.0077919013461686,0.1480461255772052,5.204682784159624,0.335118270440307,-2.9323581893459933,6.084032061434488,35.0
