test,period,n_components,p,q,RSS,amplitude,acrophase,mesor,n_points
ABCC10/ctrl,12.0,1.0,0.0075728098287664025,0.0979312742229409,0.24017757908915927,0.17010330531057608,-4.895459654195198,5.579605090579174,17.0
ABCC10/ctrl,13.0,1.0,0.0103085551813622,0.0979312742229409,0.25099603196897974,0.16303749333386805,-4.179392314832774,5.5700952024856125,17.0
ABCC10/ctrl,14.0,1.0,0.046525211251508214,0.29465967125955206,0.3112902413962466,0.14422835198832046,-3.7235438756541823,5.563498122583971,17.0
ABCC10/nlrp3,11.0,1.0,0.04674643986255478,0.5363328461543854,0.353097795598713,0.20167876663804674,-1.9787402213137955,5.5717116207462585,13.0
ABHD18/nlrp3,11.0,1.0,0.04987513786840392,0.5022868798886577,0.38760267501914075,0.29610602361752997,-4.55423150389051,5.831099971586841,11.0
ABRACL/ctrl,18.0,1.0,0.046757855821541905,0.2516863942558369,1.0722058366857368,0.11022589691930415,-5.962460724968068,7.746836249701593,36.0
ABRACL/ctrl,19.0,1.0,0.04470224500504105,0.2516863942558369,1.0692883086330702,0.10932371194105049,-5.592424743881236,7.750189067429737,36.0
ACAA1/ctrl,28.0,1.0,0.04432812252063456,0.8016439453712739,0.1992851551067818,0.05160398165351676,-3.03610391965164,8.196991812352097,36.0
ADAM22/ctrl,12.0,1.0,0.009891626801598719,0.08586075727992959,4.600697128777408,0.36354330585084066,-5.721657253185921,6.346427184576402,30.0
ADAM22/ctrl,13.0,1.0,0.006600076089011808,0.08586075727992959,4.464855807997228,0.3530541517084385,-4.991618190719505,6.3522139600487595,30.0
ADAM22/ctrl,14.0,1.0,0.013556961675778356,0.08586075727992959,4.70938274287637,0.337483488891589,-4.393735556510194,6.35781178252309,30.0
ADAM22/ctrl,15.0,1.0,0.049662385088055205,0.23589632916826223,5.184797284485104,0.30285858528774084,-3.893971254922143,6.3600765574864715,30.0
ADGRF4/ctrl,23.0,1.0,0.029321696477212278,0.09285203884450555,0.6773848781584818,0.14747782232345583,-3.0676960067922723,5.77388364244519,25.0
ADGRF4/ctrl,24.0,1.0,0.018770312625038366,0.0713271879751458,0.6504663095269443,0.15521643721212083,-2.8305920960218827,5.768470467400107,25.0
ADGRF4/ctrl,25.0,1.0,0.01408766370221104,0.06691640258550244,0.6337158616246618,0.1587304355162641,-2.6325218962797106,5.765227212588826,25.0
ADGRF4/ctrl,26.0,1.0,0.012301922917536401,0.06691640258550244,0.6259550178982967,0.15928629818180337,-2.458664178470497,5.763595246684015,25.0
ADGRF4/ctrl,27.0,1.0,0.012180588977300233,0.06691640258550244,0.6253912314086421,0.15784960004280257,-2.299104940950044,5.763055749538321,25.0
ADGRF4/ctrl,28.0,1.0,0.013266762076001082,0.06691640258550244,0.630266480506525,0.15502509810647735,-2.147477324841206,5.763256249582749,25.0
AGBL4/ctrl,13.0,1.0,0.03491204932886616,0.42122236698175564,0.07178312715132357,0.2160070789273353,-1.6806563164163095,5.354067552040775,8.0
AGBL4/ctrl,14.0,1.0,0.04433919652439533,0.42122236698175564,0.07898549869553564,0.21102702883163055,-1.0225589046525834,5.3478161715229,8.0
AKTIP/nlrp3,10.0,1.0,0.04856218811801161,0.659692087999997,1.9441033137324968,0.15653049943698355,-5.974825931057105,6.647383168999989,36.0
ALKBH3/ctrl,19.0,1.0,0.02978932207460394,0.19600805508580824,2.65897391089974,0.18167089160240962,-1.6634296615862807,7.273774582012372,36.0
ALKBH3/ctrl,20.0,1.0,0.026657336288052003,0.19600805508580824,2.6411325968932617,0.18048094103999365,-1.4362516114703932,7.273948112250477,36.0
ALKBH3/ctrl,21.0,1.0,0.03201038609437268,0.19600805508580824,2.670587557020528,0.17557736870732094,-1.2521921622378485,7.2717835335167855,36.0
ALKBH3/ctrl,22.0,1.0,0.045766502424915534,0.19600805508580824,2.7290803656104075,0.16909266338864146,-1.0977490940053118,7.268160468888311,36.0
ALKBH3/nlrp3,13.0,1.0,0.007682023531511484,0.0729792235493591,2.3837075431833585,0.22316866341631766,-2.9384016001964053,7.2712793304241785,36.0
ALKBH3/nlrp3,14.0,1.0,0.0044258669003984785,0.0729792235493591,2.3053623489529302,0.2321460348074821,-2.3920796345997775,7.258593453529758,36.0
ALKBH3/nlrp3,15.0,1.0,0.012316400841874575,0.07800387199853898,2.4528879463416886,0.20163678925283898,-1.9542541094207164,7.260923622407711,36.0
ALKBH3/nlrp3,16.0,1.0,0.0335253903158218,0.15924560400015356,2.606361671995498,0.17467911487214685,-1.674812959398023,7.270010782316077,36.0
ALPK2/ctrl,21.0,1.0,0.04159720891347307,0.24141456604557518,2.83293331574112,0.20100968752694637,-5.470613389864741,6.5088763304389765,35.0
ALPK2/ctrl,22.0,1.0,0.04081668840251362,0.24141456604557518,2.829581453450889,0.20311805559257828,-5.211348607870285,6.5155618909795034,35.0
ALPK2/ctrl,23.0,1.0,0.04826042499237959,0.24141456604557518,2.8593629545629957,0.19782193854095367,-4.965543364743368,6.5187570231530385,35.0
AMDHD1/ctrl,12.0,1.0,0.005969052905606564,0.06135258343706096,4.675854113669225,0.3325799547987759,-2.3866766129357058,6.146127208584123,34.0
AMDHD1/ctrl,13.0,1.0,0.006458166677585364,0.06135258343706096,4.699673106169353,0.3101787145986431,-1.9534710857302577,6.135969980237457,34.0
AMDHD1/ctrl,14.0,1.0,0.012844763136887316,0.08135016653361968,4.912847169376976,0.2977062415358164,-1.6834516522158935,6.116759027636597,34.0
AMDHD1/ctrl,15.0,1.0,0.0335823146307368,0.1595159944959998,5.22710577002273,0.27327664582036243,-1.4290088063414066,6.110121743051377,34.0
AMDHD1/nlrp3,11.0,1.0,0.007791901346168695,0.1480461255772052,5.204682784159624,0.335118270440307,-2.9323581893459933,6.084032061434488,35.0
AMDHD1/nlrp3,12.0,1.0,0.0207571274530024,0.1971927108035228,5.533367349318686,0.2988818977784543,-2.1413011517429608,6.103078260012874,35.0
ANGPTL4/ctrl,22.0,1.0,0.02501021048356633,0.0678848570268229,0.4522415993770008,0.08040958277564775,-4.8937710037564175,8.691234445041374,36.0
ANGPTL4/ctrl,23.0,1.0,0.0062643514609859174,0.01983711295978874,0.4158451549844101,0.09375364494424049,-4.732198449656657,8.695568118722344,36.0
ANGPTL4/ctrl,24.0,1.0,0.0014938047101507035,0.005676457898572674,0.38124081193577,0.10426978690291973,-4.5415159793665545,8.698764029387524,36.0
ANGPTL4/ctrl,25.0,1.0,0.00039061338078549834,0.0018554135587311171,0.3514742595689353,0.11199593306287522,-4.344320873984264,8.700653403229282,36.0
ANGPTL4/ctrl,26.0,1.0,0.00012249779826267737,0.0007758193889969567,0.3276205772280101,0.1174409267174389,-4.153099152985084,8.701372276833354,36.0
ANGPTL4/ctrl,27.0,1.0,4.8275080313575636e-05,0.00045861326297896854,0.3096433521230193,0.12108640056470336,-3.974643458057156,8.701153655899624,36.0
ANGPTL4/ctrl,28.0,1.0,2.4224976688747013e-05,0.00045861326297896854,0.2969700769169138,0.1233035155987608,-3.8122138657399534,8.700221109347925,36.0
ANGPTL4/nlrp3,19.0,1.0,0.04582016077651552,0.08705830547537949,0.33800946886584315,0.06340345817993623,-6.089785851772184,8.665256058436697,36.0
