test,period,n_components,p,q,RSS,amplitude,acrophase,mesor,n_points
AGAP2/ctrl,15.0,1.0,0.002737581679152057,0.01300351297597227,3.848780737623887,0.401095895321661,-2.3351246174008766,6.033536599753673,28.0
AGAP2/ctrl,16.0,1.0,0.0009516107112187422,0.00904030175657805,3.5368003854092436,0.4216120344043714,-1.8279109957699098,6.047874176600204,28.0
AGAP2/ctrl,17.0,1.0,0.0008798055671723759,0.00904030175657805,3.5146715014180847,0.43135651683273096,-1.3560534447431003,6.071625823981123,28.0
AGAP2/ctrl,18.0,1.0,0.0017077610981063307,0.010815820288006761,3.7061924993417446,0.43232967939846556,-0.9193801754083087,6.098923967717864,28.0
AGAP2/ctrl,19.0,1.0,0.005504222160905958,0.020916044211442643,4.069953804473503,0.41838558704548046,-0.52537681390787,6.123495277976803,28.0
APOH/ctrl,12.0,1.0,0.004207553703545863,0.0399717601836857,2.5441641537992914,0.23573063375393732,-2.7841843820814027,7.524259092135338,36.0
APOH/ctrl,13.0,1.0,0.004174679498859413,0.0399717601836857,2.5429549884336917,0.2249191554782727,-2.0845015777014093,7.518848361492582,36.0
ARL4C/ctrl,14.0,1.0,0.0008948937667012657,0.008501490783662025,0.32713545590213366,0.42662467058844666,-1.5471151144495134,5.77297966140136,12.0
ARL4C/ctrl,15.0,1.0,0.00047478327538963416,0.008501490783662025,0.2841549046629255,0.4495602696544582,-0.9280620494180877,5.792357707250337,12.0
ARL4C/ctrl,16.0,1.0,0.004338979219755679,0.0274802017251193,0.4646080681480004,0.4296021519900568,-0.42145447144518317,5.810753558324583,12.0
ASPDH/ctrl,11.0,1.0,0.037916948676539164,0.04802813499028294,0.22931375734719706,1.0288687118764575,-4.125980746324166,7.8210327223306955,7.0
ASPDH/ctrl,13.0,1.0,0.0379169486765385,0.04802813499028294,0.229313757347197,1.2744622995229626,-0.43751366963823163,7.450691314833533,7.0
ASPDH/ctrl,14.0,1.0,0.03791694867653861,0.04802813499028294,0.22931375734719703,0.689421697226842,-0.025565198348469816,7.6823938271163605,7.0
ASPDH/ctrl,15.0,1.0,0.03791694867653883,0.04802813499028294,0.229313757347197,0.6440224950793983,-0.1751552444520106,7.500890086738008,7.0
ASPDH/ctrl,17.0,1.0,0.03791694867653861,0.04802813499028294,0.229313757347197,1.9159780024900233,-3.88670414885979,8.969747364186404,7.0
ASPDH/ctrl,18.0,1.0,0.0379169486765385,0.04802813499028294,0.229313757347197,2.0666744669904396,-3.653310982293292,8.855745359281615,7.0
ASPDH/ctrl,19.0,1.0,0.0379169486765385,0.04802813499028294,0.229313757347197,3.6969669677951713,-3.39265232074932,9.315649869238317,7.0
ASPDH/ctrl,21.0,1.0,0.03791694867653894,0.04802813499028294,0.229313757347197,3.641071455887327,-6.051846760869572,7.028537408064983,7.0
ASPDH/ctrl,22.0,1.0,0.037916948676539164,0.04802813499028294,0.22931375734719703,1.902779269125312,-5.843085195726693,7.568478755211396,7.0
ASPDH/ctrl,23.0,1.0,0.03791694867653905,0.04802813499028294,0.229313757347197,1.3561545934231918,-5.657523588865809,7.745648007031636,7.0
ASPDH/ctrl,24.0,1.0,0.03791694867653861,0.04802813499028294,0.229313757347197,1.1091306492520328,-5.495202420158575,7.836046913602329,7.0
ASPDH/ctrl,25.0,1.0,0.03791694867653883,0.04802813499028294,0.229313757347197,0.9870228699432633,-5.356223809907376,7.895279340621849,7.0
ASPDH/ctrl,26.0,1.0,0.03791694867653872,0.04802813499028294,0.229313757347197,0.9361482077956194,-5.241036801865108,7.943259004649828,7.0
ASPDH/ctrl,27.0,1.0,0.037916948676539164,0.04802813499028294,0.22931375734719703,0.9408545573426841,-5.150554185844975,7.9912259048723975,7.0
ASPDH/ctrl,28.0,1.0,0.037916948676538276,0.04802813499028294,0.229313757347197,1.0077181112707152,-5.086122519175003,8.050305445420403,7.0
BUB1/ctrl,22.0,1.0,0.015165129249141152,0.041162493676240273,2.799829023243234,0.22222380853739215,-5.149086857390243,6.461621196470805,36.0
BUB1/ctrl,23.0,1.0,0.007924917540971577,0.02509557221307666,2.69184228075401,0.23684954331794553,-4.9465461167889435,6.469593852584845,36.0
BUB1/ctrl,24.0,1.0,0.00520508792008989,0.019779334096341583,2.6241276834005465,0.2435069579049165,-4.75071931434101,6.474352577658999,36.0
BUB1/ctrl,25.0,1.0,0.004257497746249617,0.019779334096341583,2.592362026555853,0.24422256568623682,-4.569990583600534,6.476149638287641,36.0
BUB1/ctrl,26.0,1.0,0.00412492126464592,0.019779334096341583,2.5873965746186642,0.24111766814819283,-4.409452145333471,6.4756221402135,36.0
BUB1/ctrl,27.0,1.0,0.004453083728507501,0.019779334096341583,2.599428398964808,0.2359574395318393,-4.2712384445176514,6.473412936663491,36.0
BUB1/ctrl,28.0,1.0,0.00507295621320325,0.019779334096341583,2.620041544178748,0.23013904968894697,-4.15481716158965,6.470030786977941,36.0
C16orf70/ctrl,10.0,1.0,0.0015622126426042549,0.01418802496987152,0.1451082478682387,0.22665298360211836,-5.996227344532545,5.714234572473245,14.0
C16orf70/ctrl,11.0,1.0,0.00037447555488356876,0.0071150355427878065,0.111919883175199,0.21340824399923186,-4.754425568988005,5.724615719942369,14.0
C16orf70/ctrl,12.0,1.0,0.002240214468927082,0.01418802496987152,0.15493717549245078,0.2097854390219992,-3.74981336848254,5.718379632231468,14.0
CCNA2/ctrl,21.0,1.0,0.01982579945538676,0.04708627370654356,2.1923082401134413,0.19767207641952175,-5.989576848131821,6.664311126773056,36.0
CCNA2/ctrl,22.0,1.0,0.01746542429878606,0.04708627370654356,2.175530406094568,0.1999412836807578,-5.8158275709131235,6.671005116739541,36.0
CCNA2/ctrl,23.0,1.0,0.017098537175908368,0.04708627370654356,2.172732989750906,0.196857024995849,-5.679652598637554,6.674087151552806,36.0
CCNA2/ctrl,24.0,1.0,0.016620019618137194,0.04708627370654356,2.16899845106239,0.1929141933503277,-5.582448813228037,6.6741508991299385,36.0
