qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,0,0,0
0.002,0,0,0
0.003,1,0,0
0.004,2,2,0
0.005,2,3,0
0.006,4,5,0
0.007,4,5,0
0.008,6,6,0
0.009000000000000001,7,7,0
0.01,9,8,0
0.011,11,9,0
0.012,12,9,0
0.013000000000000001,13,10,0
0.014,14,11,0
0.015,15,11,0
0.016,16,11,0
0.017,18,12,0
0.018000000000000002,18,13,1
0.019,18,16,2
0.02,20,19,2
0.021,20,20,2
0.022,21,23,3
0.023,23,23,3
0.024,24,23,3
0.025,25,24,3
0.026000000000000002,27,25,3
0.027,28,27,3
0.028,28,27,3
0.029,28,28,3
0.03,28,28,3
0.031,28,28,3
0.032,28,29,3
0.033,28,29,3
0.034,29,30,3
0.035,30,31,3
0.036000000000000004,30,31,3
0.037,30,31,3
0.038,31,32,3
0.039,34,33,3
0.04,34,33,3
0.041,36,33,3
0.042,36,33,3
0.043000000000000003,38,33,3
0.044,39,34,3
0.045,39,34,3
0.046,42,35,3
0.047,43,35,3
0.048,44,37,3
0.049,46,38,3
0.05,49,39,3
0.051000000000000004,49,39,3
0.052000000000000005,49,39,3
0.053,49,39,3
0.054,49,39,3
0.055,49,39,3
0.056,49,39,3
0.057,49,39,3
0.058,49,39,3
0.059000000000000004,49,39,3
