pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,16,16,1
0.002,31,30,4
0.003,45,44,7
0.004,57,52,9
0.005,65,65,12
0.006,78,74,16
0.007,88,88,17
0.008,105,94,18
0.009000000000000001,116,104,18
0.01,119,108,18
0.011,129,112,19
0.012,143,121,21
0.013000000000000001,156,136,26
0.014,162,154,29
0.015,173,159,30
0.016,186,171,32
0.017,193,183,35
0.018000000000000002,203,195,39
0.019,212,204,42
0.02,224,217,46
0.021,236,231,48
0.022,245,240,50
0.023,253,250,52
0.024,270,261,57
0.025,277,268,58
0.026000000000000002,288,275,60
0.027,299,280,62
0.028,310,289,63
0.029,319,303,64
0.03,328,313,65
0.031,336,320,68
0.032,341,329,69
0.033,344,335,70
0.034,353,343,72
0.035,367,353,73
0.036000000000000004,377,360,75
0.037,390,372,78
0.038,395,379,79
0.039,404,386,80
0.04,416,397,83
0.041,430,409,84
0.042,436,419,85
0.043000000000000003,441,428,87
0.044,450,435,90
0.045,458,444,92
0.046,462,455,93
0.047,473,471,96
0.048,484,478,98
0.049,500,488,100
