test,x,y
KLHL18/ctrl,4.0,3025.044
KLHL18/ctrl,4.0,3881.159
KLHL18/ctrl,4.0,2315.43
KLHL18/ctrl,4.0,2216.866
KLHL18/ctrl,8.0,2030.595
KLHL18/ctrl,8.0,2013.307
KLHL18/ctrl,8.0,1913.857
KLHL18/ctrl,8.0,1590.015
KLHL18/ctrl,12.0,1895.14
KLHL18/ctrl,12.0,1932.493
KLHL18/ctrl,12.0,1796.081
KLHL18/ctrl,12.0,1718.263
KLHL18/ctrl,16.0,2099.095
KLHL18/ctrl,16.0,1798.0
KLHL18/ctrl,16.0,2078.85
KLHL18/ctrl,16.0,1901.891
KLHL18/ctrl,20.0,1204.666
KLHL18/ctrl,20.0,1414.009
KLHL18/nlrp3,4.0,3052.192
KLHL18/nlrp3,4.0,3215.684
KLHL18/nlrp3,4.0,2874.455
KLHL18/nlrp3,4.0,2456.278
KLHL18/nlrp3,8.0,2633.322
KLHL18/nlrp3,8.0,1842.165
KLHL18/nlrp3,8.0,2066.763
KLHL18/nlrp3,8.0,2363.43
KLHL18/nlrp3,12.0,1552.114
KLHL18/nlrp3,12.0,1553.973
KLHL18/nlrp3,12.0,1758.05
KLHL18/nlrp3,12.0,1496.644
KLHL18/nlrp3,16.0,1636.03
KLHL18/nlrp3,16.0,1871.802
KLHL18/nlrp3,16.0,1258.001
KLHL18/nlrp3,16.0,2186.031
KLHL18/nlrp3,20.0,2166.853
KLHL18/nlrp3,20.0,978.258
KLHL2/ctrl,4.0,925.26
KLHL2/ctrl,4.0,922.425
KLHL2/ctrl,4.0,688.195
KLHL2/ctrl,4.0,1032.834
KLHL2/ctrl,8.0,1154.655
KLHL2/ctrl,8.0,874.009
KLHL2/ctrl,8.0,1136.74
KLHL2/ctrl,8.0,1165.391
KLHL2/ctrl,12.0,1218.123
KLHL2/ctrl,12.0,1195.777
KLHL2/ctrl,12.0,1223.295
KLHL2/ctrl,12.0,1059.012
KLHL2/ctrl,16.0,1171.747
KLHL2/ctrl,16.0,1420.917
KLHL2/ctrl,16.0,1257.922
KLHL2/ctrl,16.0,1339.723
KLHL2/ctrl,20.0,1098.822
KLHL2/ctrl,20.0,1010.738
KLHL2/nlrp3,4.0,836.027
KLHL2/nlrp3,4.0,747.775
KLHL2/nlrp3,4.0,873.036
KLHL2/nlrp3,4.0,1149.564
KLHL2/nlrp3,8.0,1017.566
KLHL2/nlrp3,8.0,1055.942
KLHL2/nlrp3,8.0,1058.103
KLHL2/nlrp3,8.0,1499.444
KLHL2/nlrp3,12.0,1153.776
KLHL2/nlrp3,12.0,1050.204
KLHL2/nlrp3,12.0,1029.751
KLHL2/nlrp3,12.0,1145.184
KLHL2/nlrp3,16.0,1025.681
KLHL2/nlrp3,16.0,998.016
KLHL2/nlrp3,16.0,967.806
KLHL2/nlrp3,16.0,1502.3
KLHL2/nlrp3,20.0,1096.069
KLHL2/nlrp3,20.0,718.514
KLHL20/ctrl,4.0,1226.871
KLHL20/ctrl,4.0,1163.61
KLHL20/ctrl,4.0,859.34
KLHL20/ctrl,4.0,898.136
KLHL20/ctrl,8.0,877.984
KLHL20/ctrl,8.0,787.001
KLHL20/ctrl,8.0,995.202
KLHL20/ctrl,8.0,901.165
KLHL20/ctrl,12.0,1017.0
KLHL20/ctrl,12.0,1211.068
KLHL20/ctrl,12.0,1013.88
KLHL20/ctrl,12.0,860.001
KLHL20/ctrl,16.0,1137.753
