test,period,n_components,p,q,RSS,amplitude,acrophase,mesor,n_points
A2M-AS1/ctrl,10.0,1.0,0.04825602854909339,0.2898716213750835,157.97619788218054,2.96101743461149,-3.965300868394974,8.166163669715509,18.0
A4GALT/ctrl,16.0,1.0,0.04194443492060451,0.06130340488396044,262658.9986398636,131.44864768885924,-6.264519831336954,421.8780454545455,18.0
A4GALT/ctrl,17.0,1.0,0.009227184480895878,0.014609708761418474,214640.4639113157,151.5136954018755,-6.026862828775159,424.49438952417717,18.0
A4GALT/ctrl,18.0,1.0,0.002044185473850213,0.0035308658184685497,175565.19002059218,164.09837098555664,-5.8150205756077975,427.7062133395776,18.0
A4GALT/ctrl,19.0,1.0,0.0005189147462193455,0.0009859380178167565,146234.04935010723,171.3025039147015,-5.625563681976238,431.1950974178883,18.0
A4GALT/ctrl,20.0,1.0,0.00016171313419721667,0.00034139439441634634,125180.03743307591,175.19742194745334,-5.455471559246939,434.7756399000454,18.0
A4GALT/ctrl,21.0,1.0,6.302347654985052e-05,0.000149680756805895,110400.07082953068,177.29486311340005,-5.302174453855914,438.36550992014855,18.0
A4GALT/ctrl,22.0,1.0,3.0286728416983877e-05,8.220683427467052e-05,100123.49927226588,178.5521201294968,-5.163503329245077,441.9411884329201,18.0
A4GALT/ctrl,23.0,1.0,1.74151232236186e-05,5.514789020812557e-05,93002.06209131918,179.52894001197885,-5.037626894368243,445.50683706871985,18.0
A4GALT/ctrl,24.0,1.0,1.1576028444038045e-05,4.398890808734457e-05,88073.1742801087,180.53491494988916,-4.92299404886351,449.07722826086956,18.0
A4GALT/ctrl,25.0,1.0,8.612678176089794e-06,4.091022133642652e-05,84668.29229987283,181.7319762737716,-4.818285293980594,452.66961486688854,18.0
A4GALT/ctrl,26.0,1.0,6.979348107116756e-06,4.091022133642652e-05,82327.39098353451,183.19797374212982,-4.722372800363879,456.30031264265415,18.0
A4GALT/ctrl,27.0,1.0,6.027679935738384e-06,4.091022133642652e-05,80733.86218904314,184.9641156273402,-4.634287889799956,459.9835260228337,18.0
A4GALT/ctrl,28.0,1.0,5.45618891401034e-06,4.091022133642652e-05,79668.68051102277,187.03646190339973,-4.553194603342518,463.7311569309088,18.0
AAAS/ctrl,14.0,1.0,0.014888718519731836,0.018859043458326993,2597879.3012098777,481.186555160201,-0.4678996291100133,3306.8987746671382,18.0
AAAS/ctrl,15.0,1.0,0.002365245667505067,0.003209976263042591,2032769.6184054539,558.160185483663,-0.15976724445040802,3312.4052275688737,18.0
AAAS/ctrl,16.0,1.0,0.00041090257309350786,0.000943125344778115,1609668.7342554547,605.6804644497516,-6.172794348823065,3319.6606590909087,18.0
AAAS/ctrl,17.0,1.0,0.00011663367251313339,0.00048660813912271283,1360863.3576680091,624.3825802323412,-5.93133986899723,3327.958967449726,18.0
AAAS/ctrl,18.0,1.0,6.479716209351061e-05,0.00048660813912271283,1258284.3405966698,622.7160940401903,-5.713815834323069,3336.2805832159975,18.0
AAAS/ctrl,19.0,1.0,6.278573886353556e-05,0.00048660813912271283,1253004.974001624,610.0475320904284,-5.516984847888668,3343.9844681817085,18.0
