pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,430,39,21
0.002,868,78,35
0.003,1207,101,47
0.004,1528,134,56
0.005,1780,159,63
0.006,2015,187,75
0.007,2242,205,83
0.008,2443,225,91
0.009000000000000001,2608,245,98
0.01,2829,266,102
0.011,3003,298,110
0.012,3151,311,111
0.013000000000000001,3308,335,118
0.014,3469,358,125
0.015,3621,366,127
0.016,3774,387,136
0.017,3924,401,142
0.018000000000000002,4066,416,150
0.019,4186,445,158
0.02,4291,466,163
0.021,4400,485,174
0.022,4520,501,180
0.023,4639,527,190
0.024,4754,548,198
0.025,4862,573,212
0.026000000000000002,4988,596,221
0.027,5090,616,227
0.028,5204,632,233
0.029,5296,647,239
0.03,5403,664,247
0.031,5499,681,252
0.032,5601,701,259
0.033,5681,721,264
0.034,5773,747,272
0.035,5882,769,282
0.036000000000000004,6014,817,289
0.037,6124,839,295
0.038,6198,860,304
0.039,6270,881,311
0.04,6340,902,319
0.041,6407,919,328
0.042,6481,943,335
0.043000000000000003,6558,960,344
0.044,6648,984,356
0.045,6731,1013,363
0.046,6811,1031,373
0.047,6880,1048,375
0.048,6963,1080,386
0.049,7044,1107,394
0.05,7108,1127,407
0.051000000000000004,7108,1127,407
0.052000000000000005,7108,1127,407
0.053,7108,1127,407
0.054,7108,1127,407
0.055,7108,1127,407
0.056,7108,1127,407
0.057,7108,1127,407
0.058,7108,1127,407
0.059000000000000004,7108,1127,407
