qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,158,22,6
0.002,325,41,20
0.003,459,55,28
0.004,610,65,38
0.005,763,75,44
0.006,899,85,47
0.007,1001,93,53
0.008,1125,106,59
0.009000000000000001,1245,117,65
0.01,1377,126,71
0.011,1488,136,75
0.012,1581,149,78
0.013000000000000001,1678,164,81
0.014,1767,187,89
0.015,1871,195,90
0.016,1959,210,96
0.017,2052,219,98
0.018000000000000002,2139,229,104
0.019,2231,235,107
0.02,2306,245,109
0.021,2389,255,115
0.022,2471,261,118
0.023,2547,273,128
0.024,2619,283,134
0.025,2686,294,137
0.026000000000000002,2759,301,141
0.027,2817,318,149
0.028,2895,325,155
0.029,2973,331,159
0.03,3023,347,167
0.031,3093,355,171
0.032,3145,368,177
0.033,3214,377,182
0.034,3272,386,183
0.035,3349,396,186
0.036000000000000004,3416,407,190
0.037,3472,415,192
0.038,3536,425,198
0.039,3591,436,203
0.04,3650,444,205
0.041,3707,457,211
0.042,3768,463,214
0.043000000000000003,3817,479,219
0.044,3872,484,224
0.045,3930,498,230
0.046,3981,507,230
0.047,4034,517,233
0.048,4085,535,239
0.049,4142,541,242
0.05,4200,552,247
0.051000000000000004,4200,552,247
0.052000000000000005,4200,552,247
0.053,4200,552,247
0.054,4200,552,247
0.055,4200,552,247
0.056,4200,552,247
0.057,4200,552,247
0.058,4200,552,247
0.059000000000000004,4200,552,247
