ZT_4_1,ZT_4_2,ZT_4_3,ZT_8_1,ZT_8_2,ZT_8_3,ZT_12_1,ZT_12_2,ZT_12_3,ZT_16_1,ZT_16_2,ZT_16_3,ZT_20_1,ZT_20_2,ZT_20_3,ZT_24_1,ZT_24_2,ZT_24_3
237.316,205.0,131.0,154.0,192.048,123.0,109.11,59.0,135.0,193.032,194.0,179.006,158.292,199.0,186.0,179.0,187.634,171.0
526.024,503.0,302.116,459.398,425.041,374.0,345.001,306.999,336.045,499.086,323.948,324.999,373.0,293.001,323.001,396.347,328.782,375.766
0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0
8.0,5.0,7.0,8.0,11.0,7.0,8.0,6.0,7.0,5.0,8.0,4.0,11.0,21.015,9.0,11.0,8.0,7.0
101.0,20.0,18.0,60.005,17.0,18.0,28.0,11.0,25.0,252.029,29.0,12.0,282.111,20.0,11.0,44.0,14.0,21.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
321.011,292.0,226.001,354.003,299.083,260.017,314.023,266.0,314.0,573.012,451.0,382.0,529.002,433.0,652.0,576.527,705.139,641.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3283.882,3278.174,2775.011,2928.147,3013.68,2731.107,2692.296,2518.604,3011.578,3537.409,3420.727,3490.813,3367.39,4269.241,4399.732,3735.274,3409.601,3757.774
1872.694,2105.073,1262.723,1774.345,1836.904,1480.491,1727.485,1519.021,1711.033,2106.536,1577.998,1525.087,1906.223,1588.084,1758.208,1692.674,1265.193,1403.015
111.025,66.0,57.0,53.0,73.0,45.0,47.0,42.0,38.001,58.041,30.0,40.046,45.037,22.0,38.0,37.001,27.0,20.0
41.0,24.0,25.0,50.761,65.0,28.0,46.0,49.0,49.0,69.0,59.0,35.0,73.0,49.0,37.0,25.0,22.002,26.0
69.0,74.001,59.0,80.0,100.0,83.0,83.001,100.0,103.0,103.0,98.0,72.001,81.003,87.0,83.0,61.01,54.999,60.0
155.01,203.0,139.108,136.106,187.096,158.12,152.222,170.0,207.0,186.357,162.0,165.096,211.0,173.0,190.038,159.0,113.094,130.0
3419.691,3300.093,2698.807,3495.029,3440.76,2766.978,3171.819,2744.152,3606.574,3907.335,3469.733,3066.701,3165.92,3922.316,3736.218,3401.887,2388.582,2821.159
2217.223,2567.663,1303.968,1712.119,1677.95,1630.0,1924.948,1820.428,1954.012,2212.808,2096.344,1558.026,2282.008,2130.04,2085.028,2271.124,1710.428,1464.23
311.078,331.0,258.001,302.056,318.014,247.0,306.995,252.0,334.0,332.274,379.999,327.001,308.023,468.999,372.0,329.078,347.838,332.23
6215.626,6049.735,4870.662,5045.245,5470.589,4851.372,5060.011,5056.63,5369.487,6647.801,5989.987,6271.826,5879.969,6154.908,7551.878,6911.153,5819.366,6419.656
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
4117.557,4919.272,3343.652,2960.569,2977.557,2918.209,2694.756,2244.213,3037.956,3904.548,3068.353,3031.347,3434.467,3010.219,3577.896,2996.831,2159.179,2688.015
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4440.552,5687.243,3604.618,4696.819,4568.111,4624.293,4921.53,4452.514,5366.079,7978.862,5416.919,5917.334,7495.851,7808.349,8677.475,8638.479,7947.816,9163.411
1449.983,1330.241,1016.106,1644.723,1540.779,1563.44,1698.182,1505.34,1587.048,2079.322,1749.355,1793.736,2090.624,1789.782,2144.028,1961.013,1574.52,1607.377
1592.867,1603.523,1329.837,1382.36,1417.085,1309.514,1477.571,1303.541,1563.503,1792.979,1684.104,1592.31,1468.79,1758.421,1957.296,1645.073,1380.803,1558.515
559.839,546.132,440.238,508.0,587.6,446.001,594.055,521.111,619.98,667.413,807.999,549.453,505.276,939.057,591.002,733.393,548.567,549.0
2346.466,2509.878,1958.947,2463.532,2487.419,2342.133,2319.374,2133.47,3023.91,2585.68,2716.423,2433.681,2515.477,3313.33,2892.202,2648.656,1842.834,2091.69
1673.194,1526.448,1226.311,1220.414,1270.135,1209.003,1358.141,1340.113,1367.398,1567.488,1560.269,1354.999,1599.17,1908.694,1667.001,1806.862,1328.568,1315.413
