ZT_4_1,ZT_4_2,ZT_4_3,ZT_8_1,ZT_8_2,ZT_8_3,ZT_12_1,ZT_12_2,ZT_12_3,ZT_16_1,ZT_16_2,ZT_16_3,ZT_20_1,ZT_20_2,ZT_20_3,ZT_24_1,ZT_24_2,ZT_24_3
238.103,172.301,212.385,142.0,232.067,117.0,135.0,190.053,141.01,110.0,167.0,98.0,127.001,148.012,128.016,239.0,188.0,105.481
449.075,429.181,447.005,383.0,599.98,313.0,339.003,562.8,311.0,237.0,368.584,256.679,283.999,378.031,241.04,463.111,438.413,239.094
2.0,2.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0
6.0,2.0,5.0,14.0,5.0,14.0,2.0,12.0,5.0,3.0,6.0,10.0,10.0,5.0,13.0,17.0,13.0,4.0
113.001,36.004,30.0,65.999,192.002,30.0,56.0,27.0,13.0,42.0,305.0,13.0,53.0,210.034,13.0,38.0,88.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310.02,278.367,289.0,300.0,491.041,245.999,320.002,437.004,256.0,290.0,401.078,318.036,391.116,512.031,353.0,687.052,498.0,428.335
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3036.075,2669.593,3498.777,2699.096,2927.999,2663.401,2938.861,3856.798,2670.194,2367.29,3222.562,2837.821,2987.174,3077.134,2825.628,4612.318,3527.791,2561.159
1719.967,1583.789,1700.541,1739.0,2212.299,1303.314,1755.903,2166.815,1200.324,1346.999,1808.203,1243.202,1364.815,1754.046,1193.001,1979.0,1934.099,891.358
