test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
AACS/ctrl,0.0,0.0,,,,,0.6505001738649359,,,,,,7.291248642663333,,,,,,
AACS/nlrp3,0.0,0.0,,,,,0.5164976997396559,,,,,,7.297539558231104,,,,,,
AAMP/ctrl,0.0,0.0,,,,,0.5248622256255127,,,,,,7.376668293455213,,,,,,
AAMP/nlrp3,0.0,0.0,,,,,0.8604689351467839,,,,,,7.3107964318245955,,,,,,
AAR2/ctrl,0.0,0.0,,,,,0.6205285239762414,,,,,,7.489613048835238,,,,,,
AAR2/nlrp3,0.0,0.0,,,,,0.7143434713775979,,,,,,7.504415419984757,,,,,,
ABAT/ctrl,32.0,1.0,0.0070369172351072,0.1035227465783836,0.9366937245054084,,2.306132597698571,0.2594773785207437,0.2145972196432131,-1.6187408877098193,0.2245611521743451,-2.4403162154010807,6.946667894331403,[12.42842843],[7.17122905],[28.44444444],[6.72210901],0.5378313667815432,0.2643535624705401
ABAT/nlrp3,32.0,1.0,0.0376855691324139,0.517305010050165,0.7403476825114257,,1.713606944032937,0.1802006294767295,0.1305158191419859,3.72674518266286,0.1534299128245999,-2.364842518017542,7.007843486728225,[12.04404404],[7.16127136],[28.06006006],[6.85441357],0.4636172604929089,0.2278760258397386
ABCA11P/ctrl,0.0,0.0,,,,,3.4541109357904176,,,,,,6.303245234133292,,,,,,
ABCA11P/nlrp3,0.0,0.0,,,,,3.5561034766629995,,,,,,6.145867714676879,,,,,,
ABCB10/ctrl,0.0,0.0,,,,,1.875442153224024,,,,,,6.863458176764604,,,,,,
ABCB10/nlrp3,0.0,0.0,,,,,1.4831304621516557,,,,,,6.861202144114039,,,,,,
ABCB11/ctrl,0.0,0.0,,,,,0.456925828634555,,,,,,5.508987348392026,,,,,,
ABCB11/nlrp3,0.0,0.0,,,,,0.43811008601876,,,,,,5.526692022553176,,,,,,
ABCC10/ctrl,0.0,0.0,,,,,0.4824983177162781,,,,,,5.555017439295124,,,,,,
ABCC10/nlrp3,0.0,0.0,,,,,0.6515967462038852,,,,,,5.598768470935248,,,,,,
ABCF2/ctrl,0.0,0.0,,,,,0.2909591155333279,,,,,,8.061920420412056,,,,,,
ABCF2/nlrp3,32.0,1.0,0.0460888151698215,0.5099525177681224,0.5085646781993238,,0.307834216373934,0.1701381678694566,0.1198435113766965,34.62904388690351,0.0600363850993606,1.490605523324887,8.036593520397455,[24.40840841],[8.09662937],[8.39239239],[7.97655714],0.1964999458973738,0.096583174451293
ABHD14B/ctrl,32.0,1.0,0.0320054101372033,0.301594031960985,0.7563250734276995,,0.6508315831583568,0.1882776975049614,0.1390824064446562,21.152632448089285,0.0951978982181867,-2.80510575275485,7.670873820990318,[14.28628629],[7.76607093],[30.23823824],[7.57567701],0.2857184593677299,0.1404356407277613
ABHD14B/nlrp3,32.0,1.0,0.030519166557937,0.4500757483019321,0.3605003919533589,,0.5587171672482785,0.190613569015412,0.141559845925437,23.899567822281533,0.0903830348613885,-2.528368862348542,7.649170013076099,[12.87687688],[7.73955305],[28.89289289],[7.55878698],0.2647280725369968,0.1301184969554591
ABHD16A/ctrl,0.0,0.0,,,,,2.851775932288505,,,,,,6.822977612668696,,,,,,
ABHD16A/nlrp3,0.0,0.0,,,,,2.54258855347338,,,,,,6.856923499752915,,,,,,
ABHD18/ctrl,0.0,0.0,,,,,0.6873206159150356,,,,,,5.646095457292972,,,,,,
ABHD18/nlrp3,0.0,0.0,,,,,0.820332356266988,,,,,,5.73513918524227,,,,,,
ABRACL/ctrl,19.0,1.0,0.0447022450050411,0.2483747311735103,0.9784221635219834,,1.0692883086330711,0.1716730761509257,0.121471444402497,12.21567438582138,0.1093235636360638,0.6855527512338089,7.750189151780672,[16.92692693],[7.8595113],[7.41741742],[7.64086559],0.3662278765674172,0.1800074332331417
ABRACL/nlrp3,0.0,0.0,,,,,0.9242462172824046,,,,,,7.808600956814493,,,,,,
ABT1/ctrl,0.0,0.0,,,,,1.9583713199771613,,,,,,7.010353090209168,,,,,,
ABT1/nlrp3,0.0,0.0,,,,,0.8520203146866806,,,,,,7.013362990308441,,,,,,
ACAA1/ctrl,32.0,1.0,0.0052246477043702,0.0594552018545194,0.9257818266541208,,0.1750631779531362,0.2727220427337958,0.2286445907782683,44.78850405686224,0.063976423181626,-2.4654741145289267,8.196509306903081,[12.55655656],[8.26048517],[28.50850851],[8.13253359],0.1481840272975887,0.0728350519081209
ACAA1/nlrp3,0.0,0.0,,,,,0.2869000004681453,,,,,,8.218565430761258,,,,,,
ACAD10/ctrl,0.0,0.0,,,,,2.818284525694672,,,,,,5.703084549021145,,,,,,
ACAD10/nlrp3,0.0,0.0,,,,,2.5580926601176204,,,,,,5.963455124853005,,,,,,
ACAD11/ctrl,0.0,0.0,,,,,4.014465578963232,,,,,,6.630267727929746,,,,,,
ACAD11/nlrp3,0.0,0.0,,,,,2.7801975669617893,,,,,,6.668981027262701,,,,,,
ACE2/ctrl,0.0,0.0,,,,,1.411961137778944,,,,,,5.822805237917874,,,,,,
ACE2/nlrp3,0.0,0.0,,,,,1.1181896283340194,,,,,,5.850932976228859,,,,,,
ACOT7/ctrl,0.0,0.0,,,,,0.8899531795590288,,,,,,8.474173575973172,,,,,,
ACOT7/nlrp3,0.0,0.0,,,,,0.6906759918778175,,,,,,8.463171683834403,,,,,,
ACSM2A/ctrl,0.0,0.0,,,,,7.803296592958423,,,,,,6.093087105004951,,,,,,
ACSM2A/nlrp3,0.0,0.0,,,,,5.782697894306761,,,,,,6.011592274108688,,,,,,
ACTR1B/ctrl,0.0,0.0,,,,,2.423857917548286,,,,,,7.008716751253508,,,,,,
