test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
A1BG/ctrl,0.0,0.0,,,,,6.282873137064118,,,,,,6.243867033596482,,,,,,
A1BG/nlrp3,32.0,1.0,0.03616554978725184,0.13536137883471022,0.36472920631900463,,8.141668491944799,0.23323266062727077,0.17189127347745237,-22.437347655584304,0.4199185744756262,-0.6163685286322318,6.141754517641886,[3.13913914],[6.56166703],[19.15515516],[5.72183594],1.1753213604789714,0.5706721823234351
AADACL3/ctrl,0.0,0.0,,,,,4.801274719139991,,,,,,6.774215764978487,,,,,,
AADACL3/nlrp3,0.0,0.0,,,,,4.683091302766373,,,,,,6.84369193492477,,,,,,
AAGAB/ctrl,0.0,0.0,,,,,1.558835843305097,,,,,,6.701262984604025,,,,,,
AAGAB/nlrp3,0.0,0.0,,,,,1.139461110248705,,,,,,6.676493765250498,,,,,,
ABCC9/ctrl,0.0,0.0,,,,,6.507441689162084,,,,,,6.459458571573056,,,,,,
ABCC9/nlrp3,0.0,0.0,,,,,7.855264468504884,,,,,,6.245247624614229,,,,,,
ABCE1/ctrl,0.0,0.0,,,,,0.09064040618423015,,,,,,8.79943363698623,,,,,,
ABCE1/nlrp3,18.0,1.0,0.041785190066139566,0.4804930224798479,0.10713490907019685,,0.08823964324170773,0.17505385215165703,0.12505711591842417,57.1201347444632,0.03225282428164533,1.3522370781217328,8.793725240680924,[14.12612613],[8.82597748],[5.15315315],[8.76147247],0.10520487422386485,0.05171004334829021
ABCF3/ctrl,0.0,0.0,,,,,0.6368757487256171,,,,,,7.653096776329246,,,,,,
ABCF3/nlrp3,0.0,0.0,,,,,0.6559229894180935,,,,,,7.635281439096162,,,,,,
ABHD16B/ctrl,21.0,1.0,0.04966132372253007,0.16445830543483309,0.9369369238916331,,0.8263455988795071,0.6991103032633759,0.5787544245687262,-2.2707733293750074,0.617294504575383,-1.496894998106849,6.098774124397734,[5.003003],[6.71606863],[15.51351351],[5.48147962],1.0450264712582273,0.4065330488114114
