test,x,y
NELFA/ctrl,4.0,7.31514416982151
NELFA/ctrl,4.0,6.89774955606086
NELFA/ctrl,4.0,7.02091895969516
NELFA/ctrl,4.0,7.19324718572457
NELFA/ctrl,8.0,7.21508343835348
NELFA/ctrl,8.0,7.09528755413969
NELFA/ctrl,8.0,7.18293515136749
NELFA/ctrl,8.0,7.17788388311634
NELFA/ctrl,12.0,7.2822902277051
NELFA/ctrl,12.0,7.10948968797994
NELFA/ctrl,12.0,6.76991306851493
NELFA/ctrl,12.0,7.12482536009346
NELFA/ctrl,16.0,7.18963265025031
NELFA/ctrl,16.0,7.0271087012327
NELFA/ctrl,16.0,7.01234036913184
NELFA/ctrl,16.0,7.11693865122231
NELFA/ctrl,20.0,7.65483953352936
NELFA/ctrl,20.0,6.53398813537579
NELFA/ctrl,20.0,6.90621470508794
NELFA/ctrl,20.0,6.90833062924032
NELFA/ctrl,24.0,7.42735234332465
NELFA/ctrl,24.0,6.84889038271441
NELFA/ctrl,24.0,6.88463662210765
NELFA/ctrl,24.0,7.09511814003502
NELFA/ctrl,28.0,6.93092331895114
NELFA/ctrl,28.0,7.11315429121953
NELFA/ctrl,28.0,7.01752168768205
NELFA/ctrl,28.0,6.98405725593407
NELFA/ctrl,32.0,7.19450732096285
NELFA/ctrl,32.0,6.91484666788566
NELFA/ctrl,32.0,7.0634748475866
NELFA/ctrl,32.0,6.66282976754862
NELFA/ctrl,36.0,7.44909300980818
NELFA/ctrl,36.0,6.92628748740107
NELFA/ctrl,36.0,7.28414468212452
NELFA/ctrl,36.0,7.04029850459139
NELFA/nlrp3,4.0,7.18529836593174
NELFA/nlrp3,4.0,6.97859388175436
NELFA/nlrp3,4.0,7.08576686327011
NELFA/nlrp3,4.0,7.20829803711382
NELFA/nlrp3,8.0,6.98576928318237
NELFA/nlrp3,8.0,6.84928203953183
NELFA/nlrp3,8.0,7.23871332437084
NELFA/nlrp3,8.0,6.95962667489194
NELFA/nlrp3,12.0,7.22314545658018
NELFA/nlrp3,12.0,6.75571802419301
NELFA/nlrp3,12.0,6.87417335329911
NELFA/nlrp3,12.0,6.90773169603437
NELFA/nlrp3,16.0,7.16911298516028
NELFA/nlrp3,16.0,6.68058713184235
NELFA/nlrp3,16.0,6.8340113329131
NELFA/nlrp3,16.0,6.87976132587807
NELFA/nlrp3,20.0,7.33746217654498
NELFA/nlrp3,20.0,6.85186917315412
NELFA/nlrp3,20.0,6.90886017301728
NELFA/nlrp3,20.0,6.65132599700997
NELFA/nlrp3,24.0,7.12585986397499
NELFA/nlrp3,24.0,6.93584167478812
NELFA/nlrp3,24.0,6.8777213475234
NELFA/nlrp3,24.0,6.93945934579986
NELFA/nlrp3,28.0,7.24439534169174
NELFA/nlrp3,28.0,6.76118597417292
NELFA/nlrp3,28.0,7.37391643470553
NELFA/nlrp3,28.0,6.58825949038702
NELFA/nlrp3,32.0,7.28279883046905
NELFA/nlrp3,32.0,7.18203572074677
NELFA/nlrp3,32.0,6.75374969795832
NELFA/nlrp3,32.0,6.68044756325502
NELFA/nlrp3,36.0,7.44865384592492
NELFA/nlrp3,36.0,6.96652866928976
NELFA/nlrp3,36.0,7.11697899337453
NELFA/nlrp3,36.0,7.11171489214896
HTRA1/ctrl,4.0,8.22566454437119
HTRA1/ctrl,4.0,8.15608874299125
HTRA1/ctrl,4.0,8.17857384428861
HTRA1/ctrl,4.0,8.2192526749621
HTRA1/ctrl,8.0,8.3202725290111
HTRA1/ctrl,8.0,8.2402079809106
HTRA1/ctrl,8.0,8.22484125828225
HTRA1/ctrl,8.0,8.142353738609
HTRA1/ctrl,12.0,8.25487609084326
HTRA1/ctrl,12.0,8.24703207082904
HTRA1/ctrl,12.0,8.2987639714291
HTRA1/ctrl,12.0,8.07484805013779
HTRA1/ctrl,16.0,8.27029962586441
HTRA1/ctrl,16.0,8.19600418585101
HTRA1/ctrl,16.0,8.32829955130652
HTRA1/ctrl,16.0,8.05092322392626
HTRA1/ctrl,20.0,8.20392161678543
HTRA1/ctrl,20.0,8.2855963892523
HTRA1/ctrl,20.0,8.17122932464903
HTRA1/ctrl,20.0,8.25557078949452
HTRA1/ctrl,24.0,8.15034784208979
HTRA1/ctrl,24.0,8.15203393541086
HTRA1/ctrl,24.0,8.18749691577028
HTRA1/ctrl,24.0,8.22705522460116
HTRA1/ctrl,28.0,8.16467487578874
HTRA1/ctrl,28.0,8.22291790845775
HTRA1/ctrl,28.0,8.26306128601903
HTRA1/ctrl,28.0,8.09356594153341
HTRA1/ctrl,32.0,8.15792968904518
HTRA1/ctrl,32.0,8.21070830544278
HTRA1/ctrl,32.0,8.09353215352629
HTRA1/ctrl,32.0,8.23618117040621
HTRA1/ctrl,36.0,8.1643318871837
HTRA1/ctrl,36.0,8.30094784543648
HTRA1/ctrl,36.0,8.1302879624881
HTRA1/ctrl,36.0,8.03547994532821
HTRA1/nlrp3,4.0,8.24108051711914
HTRA1/nlrp3,4.0,8.31009632813842
HTRA1/nlrp3,4.0,8.35491299839287
HTRA1/nlrp3,4.0,8.08967497679469
HTRA1/nlrp3,8.0,8.04188886337321
HTRA1/nlrp3,8.0,8.16945662396089
HTRA1/nlrp3,8.0,8.14182847295067
HTRA1/nlrp3,8.0,7.94908676813541
HTRA1/nlrp3,12.0,8.21386928696979
HTRA1/nlrp3,12.0,8.15973136701764
HTRA1/nlrp3,12.0,8.07159749909554
HTRA1/nlrp3,12.0,8.04295451405604
HTRA1/nlrp3,16.0,8.22853309597634
HTRA1/nlrp3,16.0,8.16038205679015
HTRA1/nlrp3,16.0,8.1107974284435
HTRA1/nlrp3,16.0,8.19782236567382
HTRA1/nlrp3,20.0,8.02678062752326
HTRA1/nlrp3,20.0,8.22138378399337
HTRA1/nlrp3,20.0,8.23592617694908
HTRA1/nlrp3,20.0,7.97180782120936
HTRA1/nlrp3,24.0,8.12660123701928
