pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,1,4,0
0.002,1,5,0
0.003,3,5,0
0.004,3,5,0
0.005,3,7,0
0.006,7,7,0
0.007,7,10,0
0.008,9,10,0
0.009000000000000001,10,12,0
0.01,13,12,0
0.011,14,13,0
0.012,17,13,0
0.013000000000000001,17,15,0
0.014,19,15,0
0.015,19,16,0
0.016,21,17,0
0.017,23,17,0
0.018000000000000002,24,17,0
0.019,24,18,0
0.02,26,19,0
0.021,30,19,0
0.022,31,22,0
0.023,31,22,0
0.024,33,22,0
0.025,35,23,0
0.026000000000000002,37,24,0
0.027,38,24,0
0.028,40,26,0
0.029,40,28,0
0.03,43,28,0
0.031,44,28,0
0.032,45,28,0
0.033,47,29,0
0.034,48,31,0
0.035,48,31,0
0.036000000000000004,48,31,0
0.037,50,31,0
0.038,50,31,0
0.039,52,31,0
0.04,54,31,0
0.041,57,32,0
0.042,58,35,0
0.043000000000000003,59,36,0
0.044,61,36,0
0.045,61,36,0
0.046,63,37,0
0.047,67,37,0
0.048,70,37,0
0.049,70,39,0
0.05,71,39,0
0.051000000000000004,72,40,0
0.052000000000000005,72,40,0
0.053,72,40,0
0.054,72,40,0
0.055,72,40,0
0.056,72,40,0
0.057,72,40,0
0.058,72,40,0
0.059000000000000004,72,40,0
0.06,72,40,0
0.061,72,40,0
0.062,72,40,0
0.063,72,40,0
0.064,73,40,0
0.065,73,40,0
0.066,73,40,0
0.067,73,40,0
0.068,73,40,0
0.069,73,40,0
0.07,73,40,0
0.07100000000000001,73,40,0
0.07200000000000001,73,40,0
0.073,73,40,0
0.074,73,40,0
0.075,73,40,0
0.076,73,40,0
0.077,73,40,0
0.078,73,40,0
0.079,73,40,0
0.08,73,40,0
0.081,73,40,0
0.082,73,40,0
0.083,73,40,0
0.084,73,40,0
0.085,73,40,0
0.08600000000000001,73,40,0
0.08700000000000001,73,40,0
0.088,73,40,0
0.089,73,40,0
0.09,73,40,0
0.091,73,40,0
0.092,73,40,0
0.093,73,40,0
0.094,73,40,0
0.095,73,40,0
0.096,73,40,0
0.097,73,40,0
0.098,73,40,0
0.099,73,40,0
