qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,0,0,0
0.002,1,0,0
0.003,1,0,0
0.004,1,0,0
0.005,1,0,0
0.006,1,0,0
0.007,2,0,0
0.008,2,0,0
0.009000000000000001,2,0,0
0.01,2,0,0
0.011,2,1,0
0.012,2,1,0
0.013000000000000001,2,1,0
0.014,2,1,0
0.015,2,1,0
0.016,2,1,0
0.017,2,1,0
0.018000000000000002,2,1,0
0.019,3,2,0
0.02,4,2,0
0.021,4,2,0
0.022,4,2,0
0.023,4,2,0
0.024,4,2,0
0.025,4,2,0
0.026000000000000002,4,2,0
0.027,6,2,0
0.028,6,2,0
0.029,6,3,0
0.03,6,3,0
0.031,6,3,0
0.032,7,3,0
0.033,7,3,0
0.034,7,3,0
0.035,7,3,0
0.036000000000000004,7,3,0
0.037,7,3,0
0.038,7,4,0
0.039,7,4,0
0.04,8,4,0
0.041,9,4,0
0.042,9,4,0
0.043000000000000003,9,4,0
0.044,9,4,0
0.045,9,4,0
0.046,9,4,0
0.047,9,4,0
0.048,9,4,0
0.049,10,4,0
0.05,10,5,0
0.051000000000000004,10,5,0
0.052000000000000005,10,5,0
0.053,11,5,0
0.054,11,5,0
0.055,11,6,0
0.056,11,6,0
0.057,11,6,0
0.058,11,6,0
0.059000000000000004,11,6,0
0.06,11,8,0
0.061,11,8,0
0.062,11,9,0
0.063,12,9,0
0.064,12,9,0
0.065,13,9,0
0.066,13,10,0
0.067,13,10,0
0.068,13,10,0
0.069,13,10,0
0.07,13,10,0
0.07100000000000001,13,10,0
0.07200000000000001,13,10,0
0.073,13,10,0
0.074,13,10,0
0.075,13,10,0
0.076,14,10,0
0.077,14,10,0
0.078,14,10,0
0.079,14,10,0
0.08,14,11,0
0.081,14,11,0
0.082,14,11,0
0.083,14,12,0
0.084,14,12,0
0.085,14,12,0
0.08600000000000001,14,12,0
0.08700000000000001,14,12,0
0.088,15,12,0
0.089,15,12,0
0.09,15,12,0
0.091,15,12,0
0.092,15,12,0
0.093,15,12,0
0.094,15,12,0
0.095,15,12,0
0.096,15,13,0
0.097,15,13,0
0.098,15,13,0
0.099,15,13,0
